@RELATION ChaLearn_AutoML_Challenge_2015_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE a_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
344_r2_metric,1.0,47,0.00513410568237,ok
344_r2_metric,1.0,48,0.00649279356003,ok
422_r2_metric,1.0,18,0.9564473629,ok
422_r2_metric,1.0,19,0.959458529949,ok
225_r2_metric,1.0,30,0.506294846535,ok
225_r2_metric,1.0,19,0.516693890095,ok
197_a_metric,1.0,17,0.188594818115,ok
197_a_metric,1.0,36,0.176216483116,ok
201_a_metric,1.0,54,0.0564997196198,ok
201_a_metric,1.0,55,0.0569339394569,ok
574_a_metric,1.0,49,0.49866092205,ok
574_a_metric,1.0,50,0.490944325924,ok
416_a_metric,1.0,11,0.929402947426,ok
416_a_metric,1.0,12,0.925549387932,ok
189_r2_metric,1.0,78,0.295003533363,ok
189_r2_metric,1.0,79,0.280000925064,ok
218_a_metric,1.0,15,0.46292167902,ok
218_a_metric,1.0,16,0.479138195515,ok
1028_r2_metric,1.0,17,0.736092746258,ok
1028_r2_metric,1.0,81,0.733165681362,ok
296_r2_metric,1.0,58,0.369128882885,ok
296_r2_metric,1.0,59,0.368354201317,ok
215_r2_metric,1.0,39,0.223487615585,ok
215_r2_metric,1.0,40,0.223552107811,ok
344_a_metric,1.0,37,0.003726541996,ok
344_a_metric,1.0,38,0.00500696897507,ok
507_a_metric,1.0,3,0.47116792202,ok
507_a_metric,1.0,4,0.486686706543,ok
1414_a_metric,1.0,28,0.324103951454,ok
1414_a_metric,1.0,29,0.32645791769,ok
512_a_metric,1.0,5,0.545163631439,ok
512_a_metric,1.0,6,0.545240461826,ok
296_a_metric,1.0,7,0.367633581161,ok
296_a_metric,1.0,8,0.366918742657,ok
573_a_metric,1.0,17,0.188594818115,ok
573_a_metric,1.0,75,0.176847398281,ok
209_r2_metric,1.0,24,0.994484841824,ok
209_r2_metric,1.0,25,0.994144558907,ok
405_r2_metric,1.0,69,0.660083651543,ok
405_r2_metric,1.0,70,0.648457348347,ok
197_r2_metric,1.0,17,0.188594818115,ok
197_r2_metric,1.0,17,0.188594818115,ok
225_a_metric,1.0,22,0.518706083298,ok
225_a_metric,1.0,23,0.505118131638,ok
287_r2_metric,1.0,17,0.643111050129,ok
287_r2_metric,1.0,17,0.643111050129,ok
216_r2_metric,1.0,76,0.350647926331,ok
216_r2_metric,1.0,77,0.346364855766,ok
558_a_metric,1.0,26,0.560616075993,ok
558_a_metric,1.0,27,0.612582743168,ok
1414_r2_metric,1.0,9,0.31984603405,ok
1414_r2_metric,1.0,10,0.334411978722,ok
564_a_metric,1.0,41,0.204375982285,ok
564_a_metric,1.0,42,0.206204593182,ok
512_r2_metric,1.0,62,0.572704493999,ok
512_r2_metric,1.0,63,0.569883465767,ok
209_a_metric,1.0,71,0.942815005779,ok
209_a_metric,1.0,72,0.942385613918,ok
562_a_metric,1.0,17,0.208248853683,ok
562_a_metric,1.0,17,0.208248853683,ok
218_r2_metric,1.0,17,0.483275532722,ok
218_r2_metric,1.0,35,0.483149647713,ok
215_a_metric,1.0,56,0.223483622074,ok
215_a_metric,1.0,57,0.223486840725,ok
1030_a_metric,1.0,60,0.742724716663,ok
1030_a_metric,1.0,61,0.764764547348,ok
216_a_metric,1.0,31,0.3440066576,ok
216_a_metric,1.0,32,0.348063707352,ok
405_a_metric,1.0,33,0.652904033661,ok
405_a_metric,1.0,34,0.639333724976,ok
422_a_metric,1.0,65,0.928386628628,ok
422_a_metric,1.0,66,0.932540953159,ok
308_a_metric,1.0,67,0.259848833084,ok
308_a_metric,1.0,68,0.259077966213,ok
574_r2_metric,1.0,80,0.504805862904,ok
574_r2_metric,1.0,17,0.511487543583,ok
564_r2_metric,1.0,41,0.204375982285,ok
564_r2_metric,1.0,51,0.206202328205,ok
201_r2_metric,1.0,52,0.0561316609383,ok
201_r2_metric,1.0,53,0.063643693924,ok
189_a_metric,1.0,43,0.301866173744,ok
189_a_metric,1.0,44,0.27506840229,ok
287_a_metric,1.0,45,0.530828237534,ok
287_a_metric,1.0,46,0.603553771973,ok
227_a_metric,1.0,17,0.208248853683,ok
227_a_metric,1.0,17,0.208248853683,ok
198_r2_metric,1.0,84,0.524047315121,ok
198_r2_metric,1.0,85,0.521182537079,ok
573_r2_metric,1.0,17,0.188594818115,ok
573_r2_metric,1.0,17,0.188594818115,ok
1028_a_metric,1.0,1,0.612371325493,ok
1028_a_metric,1.0,2,0.62568372488,ok
308_r2_metric,1.0,82,0.259591758251,ok
308_r2_metric,1.0,83,0.259212613106,ok
507_r2_metric,1.0,73,0.486841917038,ok
507_r2_metric,1.0,74,0.487144112587,ok
416_r2_metric,1.0,64,0.948518455029,ok
416_r2_metric,1.0,17,0.951330661774,ok
1030_r2_metric,1.0,86,0.764121234417,ok
1030_r2_metric,1.0,87,0.760172963142,ok
198_a_metric,1.0,20,0.515943527222,ok
198_a_metric,1.0,21,0.509983479977,ok
562_r2_metric,1.0,17,0.208248853683,ok
562_r2_metric,1.0,17,0.208248853683,ok
558_r2_metric,1.0,13,0.593808591366,ok
558_r2_metric,1.0,14,0.606376588345,ok
227_r2_metric,1.0,17,0.208248853683,ok
227_r2_metric,1.0,17,0.208248853683,ok
% 
% 
% 
