@RELATION ChaLearn_AutoML_Challenge_2015_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC

@DATA
1028_a_metric,1.0,0.0001,0.00013,2e-05,0.00751,5e-05,5e-05,3e-05,8e-05,0.00013,0.00028,0.00015,3e-05,1e-05,0.00029,0.00084,0.01456,1e-05,7e-05,1e-05,0.00047,0.00035,4e-05,0.00034,0.00065,1e-05,0.00799,8e-05,0.0,1e-05,0.01481,7e-05,0.00023,4e-05,0.00048,3e-05,0.01935,0.00016,2e-05,0.00027,2e-05,1e-05,3e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.02096,0.0
1028_r2_metric,1.0,0.00011,0.00013,3e-05,0.00752,6e-05,6e-05,3e-05,8e-05,0.00013,0.00028,0.00015,3e-05,1e-05,0.00032,0.00084,0.01453,1e-05,6e-05,1e-05,0.00047,0.00038,4e-05,0.00033,0.00065,1e-05,0.0083,8e-05,0.0,1e-05,0.01465,7e-05,0.00024,4e-05,0.00048,3e-05,0.01908,0.00015,2e-05,0.00027,2e-05,0.0,3e-05,1e-05,4e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.0209,0.0
1030_a_metric,1.0,8e-05,0.00013,2e-05,0.00896,6e-05,3e-05,3e-05,8e-05,0.00013,0.00028,0.00014,3e-05,1e-05,0.0003,0.00082,0.0215,1e-05,7e-05,1e-05,0.00046,0.00031,4e-05,0.00033,0.00064,1e-05,0.00974,9e-05,0.0,1e-05,0.01136,7e-05,0.00022,4e-05,0.00047,2e-05,0.02092,0.00016,2e-05,0.00027,2e-05,0.0,3e-05,1e-05,4e-05,4e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.01925,0.0
1030_r2_metric,1.0,8e-05,0.00013,2e-05,0.00882,6e-05,3e-05,3e-05,8e-05,0.00013,0.00028,0.00014,3e-05,1e-05,0.00031,0.00083,0.02148,1e-05,7e-05,1e-05,0.00044,0.00031,4e-05,0.00034,0.00062,1e-05,0.00951,9e-05,0.0,1e-05,0.01135,7e-05,0.00022,3e-05,0.00047,2e-05,0.02066,0.00016,2e-05,0.00026,2e-05,0.0,3e-05,1e-05,5e-05,4e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.01896,0.0
1414_a_metric,1.0,0.00035,0.00014,2e-05,0.47489,0.00047,0.00011,3e-05,9e-05,4e-05,0.00033,0.00017,4e-05,1e-05,0.00221,0.00213,3.26197,1e-05,6e-05,0.0,8e-05,0.0028,3e-05,0.00095,0.00016,4e-05,0.2864,0.00014,1e-05,1e-05,3.06772,8e-05,0.00237,4e-05,0.00114,4e-05,1.34828,0.00034,2e-05,0.00029,6e-05,1e-05,3e-05,1e-05,0.0001,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,4.72778,1e-05
1414_r2_metric,1.0,0.00035,0.00014,2e-05,0.47406,0.00048,0.0001,3e-05,0.00011,4e-05,0.00045,0.00026,5e-05,1e-05,0.00222,0.00214,3.23113,1e-05,6e-05,1e-05,9e-05,0.00279,3e-05,0.00096,0.00017,4e-05,0.28855,0.00014,1e-05,1e-05,3.08176,8e-05,0.00237,4e-05,0.00114,4e-05,1.34295,0.00035,2e-05,0.00029,6e-05,1e-05,3e-05,1e-05,0.0001,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,4.7159,1e-05
189_a_metric,1.0,0.00024,0.0,2e-05,0.0,0.00038,7e-05,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00456,0.0,0.0,1e-05,7e-05,1e-05,0.00045,0.00169,4e-05,0.0,0.00062,0.00031,0.0,0.00056,0.0,1e-05,0.0,0.0,0.00142,0.0,0.0,0.0,0.0,0.00171,2e-05,0.0,0.00032,1e-05,3e-05,1e-05,0.00051,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
189_r2_metric,1.0,0.00024,0.0,2e-05,0.0,0.0004,8e-05,0.0,0.0,0.00441,0.0,0.0,0.0,1e-05,0.00425,0.0,0.0,1e-05,8e-05,1e-05,0.00497,0.00188,4e-05,0.0,0.00944,0.00031,0.0,0.00061,0.0,1e-05,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.00176,2e-05,0.0,0.00032,1e-05,4e-05,1e-05,0.00051,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05
197_a_metric,1.0,0.00035,0.00014,2e-05,1.51228,0.00026,0.00013,3e-05,8e-05,0.00013,0.00037,0.00021,4e-05,1e-05,0.00155,0.00149,0.17921,1e-05,7e-05,1e-05,0.00044,0.00195,4e-05,0.00057,0.00061,1e-05,0.06526,9e-05,0.0,1e-05,1.60067,8e-05,0.0015,3e-05,0.00088,3e-05,0.14992,0.00018,2e-05,0.00028,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.94178,0.0
197_r2_metric,1.0,0.00037,0.00014,3e-05,1.51517,0.00029,0.00016,4e-05,0.00011,0.00013,0.00053,0.00034,5e-05,1e-05,0.00159,0.01068,0.17867,1e-05,8e-05,1e-05,0.00046,0.00201,4e-05,0.00066,0.00064,1e-05,0.06144,0.0001,0.0,1e-05,1.59698,8e-05,0.00151,4e-05,0.00999,3e-05,0.15082,0.00019,2e-05,0.0003,3e-05,1e-05,5e-05,1e-05,5e-05,5e-05,2e-05,1e-05,1e-05,3e-05,2e-05,0.94139,0.0
198_a_metric,1.0,0.00027,0.0,2e-05,0.0,0.00026,9e-05,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00199,0.0,0.0,1e-05,7e-05,1e-05,0.00045,0.00217,4e-05,0.0,0.00062,1e-05,0.0,9e-05,0.0,1e-05,0.0,0.0,0.00184,0.0,0.0,0.0,0.0,0.00017,2e-05,0.0,3e-05,1e-05,4e-05,1e-05,5e-05,4e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
198_r2_metric,1.0,0.00027,0.0,2e-05,0.0,0.00025,0.0001,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00207,0.0,0.0,1e-05,7e-05,1e-05,0.00043,0.00212,4e-05,0.0,0.0006,1e-05,0.0,9e-05,0.0,1e-05,0.0,0.0,0.00178,0.0,0.0,0.0,0.0,0.00017,2e-05,0.0,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
