@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC

@DATA
233,1.0,4e-05,5e-05,2e-05,2e-05,2e-05,0.00044,0.12439,1e-05,0.00035,0.00025,5e-05,9e-05,0.026,1e-05,0.00986,1e-05,0.05681,0.00057,1e-05,1e-05,6e-05,8e-05,0.0032,6e-05,0.00044,0.1773,0.05516,1e-05,1e-05,0.0002,1e-05,0.01609,6e-05,6e-05,5e-05,1e-05,4e-05,0.00358,4e-05,1.56556,0.03144,2e-05,0.00086,0.00357,0.00011,2e-05,0.00306,0.00028,0.0001,0.00012,4e-05,0.00011
236,1.0,4e-05,5e-05,2e-05,2e-05,1e-05,0.00018,2.36639,1e-05,0.00032,0.00024,4e-05,0.0001,0.06058,1e-05,0.04995,1e-05,0.32106,0.00052,1e-05,2e-05,7e-05,0.00055,0.06126,5e-05,0.00043,0.60304,0.20707,1e-05,1e-05,0.00028,1e-05,0.01058,0.00011,6e-05,5e-05,1e-05,6e-05,0.00085,5e-05,7.41647,0.70861,2e-05,0.03274,0.06214,0.00011,2e-05,0.00055,0.00063,0.00016,0.00029,4e-05,0.00011
242,1.0,5e-05,5e-05,3e-05,3e-05,2e-05,0.00018,1.45282,1e-05,0.00032,0.00024,5e-05,0.00011,0.02168,1e-05,0.02067,1e-05,0.47505,0.00056,1e-05,1e-05,8e-05,0.00011,0.00079,7e-05,0.00046,2.02385,0.0294,1e-05,1e-05,0.00023,1e-05,0.00096,7e-05,9e-05,5e-05,1e-05,5e-05,0.00081,5e-05,1.20507,0.07827,3e-05,0.00071,0.00158,0.00012,2e-05,0.00055,0.00055,0.00011,0.00031,5e-05,0.00012
244,1.0,5e-05,8e-05,0.00409,4e-05,2e-05,0.00016,3.49317,1e-05,0.00037,0.00024,5e-05,9e-05,0.0191,1e-05,0.00795,1e-05,1.46534,0.00059,1e-05,1e-05,7e-05,0.0001,0.00064,6e-05,0.00045,0.83297,0.03123,0.0,1e-05,0.00019,1e-05,0.01107,6e-05,6e-05,5e-05,0.0,4e-05,0.00063,5e-05,0.93307,0.21508,2e-05,0.00061,0.00113,0.00011,1e-05,0.00041,0.00035,0.0001,0.00018,4e-05,0.00011
246,1.0,5e-05,7e-05,3e-05,3e-05,2e-05,0.00033,0.92128,1e-05,0.00032,0.00024,6e-05,0.0001,0.00189,1e-05,0.0012,1e-05,0.9472,0.00056,1e-05,2e-05,7e-05,0.00011,0.00063,5e-05,0.00047,0.44851,0.06431,1e-05,1e-05,0.00025,1e-05,0.00061,6e-05,7e-05,5e-05,1e-05,5e-05,0.00521,5e-05,0.43409,0.10702,3e-05,0.0007,0.00097,0.00012,2e-05,0.0048,0.00028,0.00014,0.00012,4e-05,0.00013
248,1.0,4e-05,4e-05,2e-05,2e-05,1e-05,0.00018,0.06444,1e-05,0.00027,0.00021,5e-05,9e-05,0.00143,1e-05,0.0009,1e-05,0.04186,0.00048,1e-05,1e-05,6e-05,0.0001,0.0005,5e-05,0.0004,0.03988,0.03061,0.0,1e-05,0.0002,1e-05,0.00049,6e-05,5e-05,5e-05,0.0,4e-05,0.00069,5e-05,0.04907,0.03734,2e-05,0.00067,0.00064,0.0001,1e-05,0.00044,0.00013,0.0001,4e-05,3e-05,0.00011
251,1.0,4e-05,4e-05,2e-05,2e-05,2e-05,0.00017,0.06413,1e-05,0.0003,0.00024,4e-05,9e-05,0.00886,1e-05,0.00623,1e-05,0.034,0.0005,1e-05,1e-05,6e-05,7e-05,0.00045,5e-05,0.00044,0.19832,0.07776,1e-05,1e-05,0.00021,1e-05,0.00259,6e-05,6e-05,5e-05,1e-05,5e-05,0.00071,5e-05,0.35706,0.07463,2e-05,0.00059,0.00056,0.00011,1e-05,0.00046,0.00012,0.0001,3e-05,3e-05,0.00011
252,1.0,4e-05,5e-05,2e-05,2e-05,2e-05,0.0004,2.09983,1e-05,0.00036,0.00023,6e-05,9e-05,0.00178,1e-05,0.00113,1e-05,1.45253,0.00059,1e-05,1e-05,7e-05,9e-05,0.00058,5e-05,0.00043,0.51035,0.09033,0.0,1e-05,0.0002,1e-05,0.0006,5e-05,5e-05,5e-05,0.0,4e-05,0.0053,5e-05,0.55826,0.13835,2e-05,0.00062,0.0009,0.00011,1e-05,0.00484,0.00023,0.0001,0.00012,3e-05,0.00012
253,1.0,4e-05,4e-05,2e-05,2e-05,1e-05,0.00026,0.04835,1e-05,0.00033,0.00028,4e-05,0.00014,0.032,1e-05,0.01558,1e-05,0.01273,0.00054,1e-05,1e-05,7e-05,0.0001,0.00041,5e-05,0.00048,0.0731,0.03101,0.0,1e-05,0.0003,1e-05,0.01637,6e-05,5e-05,0.00012,1e-05,5e-05,0.00101,5e-05,0.21111,0.02491,2e-05,0.00056,0.00058,0.00011,2e-05,0.00068,0.00015,0.00013,5e-05,3e-05,0.00011
254,1.0,6e-05,6e-05,2e-05,2e-05,2e-05,0.00019,0.20068,1e-05,0.00041,0.00023,6e-05,8e-05,0.00378,1e-05,0.00207,1e-05,0.06512,0.00067,1e-05,1e-05,6e-05,0.00014,0.00191,7e-05,0.00046,3.23532,0.02997,1e-05,1e-05,0.00021,1e-05,0.00165,5e-05,5e-05,6e-05,0.0,3e-05,0.00104,5e-05,6.86616,0.06705,2e-05,0.00183,0.00248,0.00012,1e-05,0.00079,0.00038,0.00012,0.00022,3e-05,0.00013
258,1.0,4e-05,6e-05,3e-05,3e-05,2e-05,0.00016,0.50252,1e-05,0.00046,0.00025,5e-05,0.0001,0.01781,1e-05,0.01023,1e-05,0.08213,0.00069,1e-05,2e-05,7e-05,0.00018,0.00157,7e-05,0.00048,2.48207,0.02907,0.0,1e-05,0.00026,1e-05,0.00751,6e-05,6e-05,5e-05,0.0,5e-05,0.00066,5e-05,1.82829,0.08166,2e-05,0.00145,0.00231,0.00014,2e-05,0.00043,0.00054,0.00015,0.00025,4e-05,0.00012
260,1.0,4e-05,4e-05,2e-05,2e-05,1e-05,0.00018,0.33067,1e-05,0.00028,0.00019,5e-05,0.0001,0.00612,1e-05,0.00544,1e-05,0.06007,0.00049,1e-05,1e-05,7e-05,0.00013,0.00125,6e-05,0.00037,0.04355,0.02702,1e-05,1e-05,0.00024,1e-05,0.00063,7e-05,6e-05,5e-05,1e-05,7e-05,0.00094,4e-05,0.17688,0.03175,2e-05,0.00146,0.00151,0.0001,1e-05,0.00067,0.00023,0.00011,7e-05,3e-05,0.00011
261,1.0,4e-05,6e-05,2e-05,2e-05,1e-05,0.00016,0.23797,1e-05,0.00027,0.00024,4e-05,8e-05,0.0341,1e-05,0.01481,1e-05,0.05429,0.00048,1e-05,1e-05,6e-05,6e-05,0.0003,5e-05,0.00044,0.3471,0.1403,0.0,1e-05,0.00019,1e-05,0.01923,5e-05,5e-05,5e-05,0.0,4e-05,0.00061,5e-05,0.49577,0.10514,2e-05,0.0004,0.00045,0.00011,1e-05,0.00039,0.00013,9e-05,6e-05,3e-05,0.00011
262,1.0,4e-05,5e-05,2e-05,2e-05,2e-05,0.00025,0.54223,1e-05,0.00033,0.00023,4e-05,9e-05,0.0264,1e-05,0.0149,1e-05,0.10654,0.00054,1e-05,2e-05,6e-05,0.00027,0.00249,5e-05,0.00043,0.2497,0.12841,0.0,1e-05,0.00025,1e-05,0.01145,6e-05,5e-05,5e-05,0.0,5e-05,0.00091,5e-05,0.45628,0.07772,2e-05,0.00239,0.00307,0.00011,1e-05,0.00059,0.00041,0.00014,0.00021,3e-05,0.00011
266,1.0,4e-05,3e-05,2e-05,2e-05,1e-05,0.00024,0.45034,1e-05,0.00032,0.00025,4e-05,9e-05,0.00781,1e-05,0.00683,1e-05,0.14738,0.00052,1e-05,1e-05,6e-05,8e-05,0.0006,5e-05,0.00045,0.24848,0.04572,0.0,1e-05,0.00019,1e-05,0.00095,5e-05,5e-05,5e-05,0.0,4e-05,0.00084,4e-05,0.20535,0.16104,2e-05,0.00067,0.00078,0.00011,1e-05,0.00054,0.00017,0.0001,6e-05,3e-05,0.00011
273,1.0,5e-05,8e-05,3e-05,3e-05,2e-05,0.00021,2.07668,1e-05,0.00035,0.00027,5e-05,0.00012,0.04972,1e-05,0.03401,1e-05,0.18773,0.00057,1e-05,1e-05,7e-05,0.00016,0.00128,5e-05,0.00048,1.03398,0.14589,1e-05,1e-05,0.00027,2e-05,0.01563,0.00877,8e-05,6e-05,1e-05,7e-05,0.00981,5e-05,3.6245,0.12279,2e-05,0.00139,0.01127,0.00011,2e-05,0.00081,0.00055,0.00013,0.00948,6e-05,0.00012
275,1.0,5e-05,0.00015,3e-05,3e-05,2e-05,0.00016,0.41159,1e-05,0.00035,0.00026,6e-05,9e-05,0.01572,1e-05,0.00453,1e-05,0.18651,0.0006,1e-05,1e-05,7e-05,9e-05,0.00089,6e-05,0.0005,4.50447,0.07994,0.0,1e-05,0.00019,1e-05,0.01104,5e-05,5e-05,5e-05,0.0,4e-05,0.00062,6e-05,4.90343,0.13773,2e-05,0.00084,0.01426,0.00012,1e-05,0.00039,0.01327,0.0001,0.00014,3e-05,0.00013
288,1.0,4e-05,6e-05,3e-05,3e-05,2e-05,0.00018,2.38569,1e-05,0.00035,0.0003,5e-05,0.00011,0.01921,1e-05,0.00616,1e-05,0.3313,0.00056,1e-05,2e-05,7e-05,0.00015,0.00136,5e-05,0.00051,0.68467,0.05596,1e-05,1e-05,0.00026,1e-05,0.01298,7e-05,7e-05,5e-05,1e-05,6e-05,0.00085,5e-05,1.94827,0.07039,3e-05,0.00137,0.01649,0.00012,2e-05,0.00058,0.00049,0.00014,0.01469,4e-05,0.00011
2117,1.0,5e-05,0.00011,2e-05,2e-05,1e-05,0.00026,7.78747,1e-05,0.00031,0.00025,5e-05,0.00011,0.06161,1e-05,0.03906,1e-05,0.71904,0.00055,1e-05,2e-05,6e-05,0.00071,0.01157,6e-05,0.00046,10.54724,0.12553,0.0,1e-05,0.00035,1e-05,0.02244,6e-05,5e-05,5e-05,0.0,6e-05,0.00102,5e-05,315.23043,0.94012,2e-05,0.0103,0.01394,0.00011,2e-05,0.00069,0.00184,0.00023,0.00058,3e-05,0.00012
2119,1.0,4e-05,4e-05,2e-05,2e-05,1e-05,0.00025,0.05298,1e-05,0.0003,0.00025,5e-05,9e-05,0.0014,1e-05,0.00087,1e-05,0.01699,0.00051,1e-05,1e-05,6e-05,8e-05,0.00039,5e-05,0.00045,0.03836,0.02023,0.0,1e-05,0.0002,1e-05,0.00048,6e-05,5e-05,5e-05,0.0,4e-05,0.00084,4e-05,0.06357,0.0358,2e-05,0.00051,0.00053,0.00011,1e-05,0.00053,0.00012,0.0001,5e-05,3e-05,0.00011
2120,1.0,5e-05,5e-05,2e-05,3e-05,2e-05,0.00026,0.78777,1e-05,0.00039,0.00025,5e-05,0.00011,0.07005,1e-05,0.04474,1e-05,0.08877,0.00061,1e-05,2e-05,7e-05,0.00018,0.00169,6e-05,0.00046,0.53819,0.02733,1e-05,1e-05,0.00034,1e-05,0.02526,7e-05,7e-05,5e-05,1e-05,6e-05,0.00099,5e-05,1.35102,0.12891,3e-05,0.00574,0.00254,0.00011,2e-05,0.00065,0.00056,0.00021,0.00034,4e-05,0.00012
