@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE auc_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75240,1.0,1.0188144485316,1.0,ok
75174,1.0,1.108830483145,38.0,ok
75187,1.0,1.00472917471975,31.0,ok
75105,1.0,1.561022803209,3.0,ok
75231,1.0,1.0169841759452,111.0,ok
75215,1.0,2.0,0.0,ok
75090,1.0,1.0137897408533,14.0,ok
75134,1.0,1.0208828661606,126.0,ok
75168,1.0,1.0203561117293,113.0,ok
75189,1.0,1.00613493823092,100.0,ok
75121,1.0,1.0,127.0,ok
75226,1.0,1.00190452347309,104.0,ok
75212,1.0,1.361142509347,68.0,ok
75150,1.0,1.505604116735,110.0,ok
2122,1.0,2.02295048529,7.0,ok
75248,1.0,1.307901771906,94.0,ok
75120,1.0,1.207770961145,109.0,ok
75205,1.0,1.0383332519926,46.0,ok
260,1.0,1.0233142320108,131.0,ok
266,1.0,1.00236700572946,8.0,ok
75210,1.0,1.0,33.0,ok
75128,1.0,1.0160427807487,26.0,ok
2119,1.0,1.437226071577,116.0,ok
261,1.0,1.397962307053,105.0,ok
75239,1.0,1.00308558253086,73.0,ok
75126,1.0,1.077902864978,121.0,ok
75141,1.0,1.0206976572231,103.0,ok
75243,1.0,2.34086399579,13.0,ok
75244,1.0,1.235940751622,78.0,ok
75156,1.0,1.309648924003,85.0,ok
75178,1.0,1.7991075105599998,67.0,ok
75095,1.0,1.0711663574324,4.0,ok
75114,1.0,1.0445203918888,102.0,ok
75129,1.0,1.29340421997,90.0,ok
2120,1.0,1.0236927557009,123.0,ok
246,1.0,1.00365312337793,66.0,ok
75225,1.0,1.159792724196,98.0,ok
75213,1.0,1.0424517146236,82.0,ok
75123,1.0,1.350229480685,64.0,ok
75142,1.0,1.0455644766656,106.0,ok
288,1.0,1.0691623153522,108.0,ok
75198,1.0,1.00547887257957,119.0,ok
75219,1.0,1.0441963866621,76.0,ok
75166,1.0,1.147066297471,49.0,ok
75099,1.0,1.322011939124,41.0,ok
75207,1.0,1.0482005204816,96.0,ok
2117,1.0,1.242300807082,124.0,ok
75159,1.0,1.2582662144980001,128.0,ok
75112,1.0,1.119833432923,79.0,ok
273,1.0,1.0292044126242,30.0,ok
75222,1.0,1.0669642857143,91.0,ok
3043,1.0,1.0117438394694,75.0,ok
75153,1.0,1.134340718022,47.0,ok
75203,1.0,1.03381130037,61.0,ok
2123,1.0,1.0891627078385,115.0,ok
75109,1.0,1.243179970599,63.0,ok
75117,1.0,1.155409631019,114.0,ok
233,1.0,2.0,35.0,ok
75236,1.0,1.00542827274186,12.0,ok
242,1.0,1.00152660094792,74.0,ok
75192,1.0,2.02693840238,32.0,ok
75237,1.0,1.0000255220217467,117.0,ok
75235,1.0,1.000112011525678,118.0,ok
75176,1.0,1.00262513775059,107.0,ok
75098,1.0,1.00328578288571,43.0,ok
75146,1.0,1.111111977682,24.0,ok
75115,1.0,1.0873983739837,112.0,ok
254,1.0,2.77943024554,50.0,ok
75184,1.0,1.18282976094,19.0,ok
75173,1.0,1.110625,52.0,ok
75101,1.0,1.414224928584,36.0,ok
75179,1.0,1.255019013149,125.0,ok
75196,1.0,1.00395284327323,11.0,ok
75093,1.0,1.518057762724,89.0,ok
75161,1.0,1.0424301436366,62.0,ok
75234,1.0,1.0189913069142,54.0,ok
75110,1.0,2.02295048529,77.0,ok
248,1.0,1.0800670978591,15.0,ok
75119,1.0,1.183801652893,130.0,ok
252,1.0,1.0596733642215,27.0,ok
75177,1.0,1.0117438394694,92.0,ok
75193,1.0,1.00755682701611,97.0,ok
75223,1.0,1.0524112475918,51.0,ok
75171,1.0,1.185485513547,45.0,ok
75154,1.0,1.0476112536682,21.0,ok
75127,1.0,1.696767827674,101.0,ok
75169,1.0,1.00491645247016,88.0,ok
75175,1.0,1.0881242907053,80.0,ok
75221,1.0,1.335950305873,25.0,ok
75157,1.0,1.932963836478,87.0,ok
258,1.0,1.00102302459015,65.0,ok
2350,1.0,1.844095894336,71.0,ok
75125,1.0,1.0820558831069,44.0,ok
75092,1.0,1.14757037834,29.0,ok
75227,1.0,1.0849095013688,42.0,ok
75217,1.0,1.0,122.0,ok
75233,1.0,1.0374524800723,72.0,ok
75107,1.0,1.354124127221,39.0,ok
75116,1.0,1.0075112812018,86.0,ok
75201,1.0,1.0252140070524,83.0,ok
75182,1.0,1.113682064827,10.0,ok
75230,1.0,1.0849319818609,17.0,ok
75250,1.0,1.0749219610917,69.0,ok
75197,1.0,1.0262279258609,120.0,ok
75100,1.0,1.775721284703,57.0,ok
75133,1.0,1.165928879247,95.0,ok
75249,1.0,1.00168287210172,59.0,ok
75232,1.0,1.157608895086,2.0,ok
75097,1.0,1.979280898536,93.0,ok
75191,1.0,1.159215495374,18.0,ok
75143,1.0,1.0105689438896,60.0,ok
75124,1.0,1.176050212514,70.0,ok
75188,1.0,1.0754560761962,34.0,ok
236,1.0,1.00142425630852,9.0,ok
244,1.0,1.0424362210398,28.0,ok
253,1.0,1.65914545745,22.0,ok
275,1.0,2.37778709196,23.0,ok
75202,1.0,1.021334111942,5.0,ok
75139,1.0,1.00379647695352,56.0,ok
75113,1.0,1.001375715726,16.0,ok
75172,1.0,1.00963119069658,20.0,ok
75185,1.0,1.110376855444,48.0,ok
262,1.0,1.000449496086441,37.0,ok
75103,1.0,1.00378395323535,40.0,ok
75132,1.0,1.692408679443,81.0,ok
75148,1.0,1.213466546856,99.0,ok
75163,1.0,1.0493274746841,129.0,ok
251,1.0,2.26700961505,84.0,ok
75106,1.0,1.676138680162,53.0,ok
75108,1.0,1.00863152368296,6.0,ok
75181,1.0,1.0,55.0,ok
75195,1.0,1.000120359326549,58.0,ok
% 
% 
% 
