@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE average_precision NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,1,0.004231944238182073,ok
75212,1.0,2,0.1521360793759462,ok
252,1.0,3,?,not_applicable
246,1.0,4,?,not_applicable
75178,1.0,5,?,not_applicable
75239,1.0,6,0.0,ok
75171,1.0,7,0.08666662514386947,ok
75233,1.0,8,0.008129429494274976,ok
248,1.0,9,?,not_applicable
75231,1.0,10,?,not_applicable
2123,1.0,11,?,not_applicable
75196,1.0,12,0.0002747755999267243,ok
75188,1.0,13,?,not_applicable
75092,1.0,14,0.35563709986626435,ok
75248,1.0,15,0.6810602093884777,ok
75126,1.0,16,0.003701142785307976,ok
75234,1.0,17,0.0025447045930394596,ok
75150,1.0,18,0.21720753099838463,ok
258,1.0,19,?,not_applicable
75168,1.0,20,?,not_applicable
75235,1.0,21,?,not_applicable
75159,1.0,22,0.5473461247136038,ok
244,1.0,23,?,not_applicable
75221,1.0,24,?,not_applicable
75219,1.0,25,0.006712691671677318,ok
75202,1.0,26,?,not_applicable
3043,1.0,27,0.05506375879821879,ok
75205,1.0,28,?,not_applicable
75174,1.0,29,0.10531801123409645,ok
288,1.0,30,?,not_applicable
75250,1.0,31,?,not_applicable
275,1.0,32,?,not_applicable
75142,1.0,33,0.014381056931335068,ok
75213,1.0,34,0.041936349169275466,ok
75099,1.0,35,0.4678374883252291,ok
75243,1.0,36,?,not_applicable
75184,1.0,37,0.07469764361674125,ok
75222,1.0,38,0.21559326045474714,ok
75175,1.0,39,0.044140533128435244,ok
233,1.0,40,5.842925670007659e-05,ok
75161,1.0,41,0.011037903669269156,ok
75176,1.0,42,0.0006938651513165306,ok
75090,1.0,43,?,not_applicable
75114,1.0,44,0.004350183875990177,ok
260,1.0,45,?,not_applicable
236,1.0,46,?,not_applicable
75141,1.0,47,0.011628188830952624,ok
75107,1.0,48,0.4583775449502874,ok
262,1.0,49,?,not_applicable
75146,1.0,50,0.027314797507292266,ok
75189,1.0,51,0.0014471736348927733,ok
2350,1.0,52,0.5707237410842824,ok
253,1.0,53,?,not_applicable
2122,1.0,54,?,not_applicable
75110,1.0,55,?,not_applicable
75249,1.0,56,0.0029122637768774773,ok
75108,1.0,57,0.0,ok
242,1.0,58,?,not_applicable
75117,1.0,59,0.008280862635277386,ok
75191,1.0,60,0.057807890742150425,ok
75226,1.0,61,6.481298084892728e-07,ok
261,1.0,62,0.34655969840600265,ok
75236,1.0,63,?,not_applicable
75095,1.0,64,0.05557088536188293,ok
75148,1.0,65,0.05374729572069947,ok
75093,1.0,66,0.5728463360258527,ok
75223,1.0,67,?,not_applicable
75244,1.0,68,0.6590615414961503,ok
75109,1.0,69,?,not_applicable
75197,1.0,70,?,not_applicable
75127,1.0,71,0.3152529081908554,ok
75143,1.0,72,0.0028502200148861068,ok
75153,1.0,73,0.01920221368233055,ok
75173,1.0,74,0.045918714790693316,ok
75215,1.0,75,0.002629240748430073,ok
75195,1.0,76,0.0,ok
75207,1.0,77,?,not_applicable
266,1.0,78,?,not_applicable
75225,1.0,79,0.5209808779102566,ok
75166,1.0,80,0.03269537102137032,ok
75100,1.0,81,0.8342571973375668,ok
75169,1.0,82,?,not_applicable
75132,1.0,83,0.8701802278884528,ok
273,1.0,84,0.014785628938213002,ok
75121,1.0,85,0.0,ok
75098,1.0,86,?,not_applicable
75115,1.0,87,0.011733935395969564,ok
75116,1.0,88,0.0008296925826821733,ok
75185,1.0,89,0.052504213743351236,ok
2119,1.0,90,?,not_applicable
75157,1.0,91,0.4866314915324267,ok
75113,1.0,92,0.009714673071875124,ok
75134,1.0,93,?,not_applicable
75096,1.0,94,?,not_applicable
75203,1.0,95,?,not_applicable
75182,1.0,96,0.09984152302439242,ok
251,1.0,97,?,not_applicable
75123,1.0,98,?,not_applicable
75237,1.0,99,8.19202841673139e-07,ok
75125,1.0,100,0.008449900024096846,ok
75232,1.0,101,0.11706237289853583,ok
75103,1.0,102,0.029330892328217617,ok
75192,1.0,103,0.4894107526437548,ok
75230,1.0,104,?,not_applicable
75139,1.0,105,0.0011780620103367667,ok
75227,1.0,106,0.0870759275296118,ok
2120,1.0,107,?,not_applicable
75124,1.0,108,0.4676991332383039,ok
75240,1.0,109,0.021029116580781215,ok
75129,1.0,110,0.632260520966013,ok
75198,1.0,111,?,not_applicable
75201,1.0,112,?,not_applicable
75112,1.0,113,0.08377189935980578,ok
75133,1.0,114,0.46574825307214884,ok
75105,1.0,115,0.927782202400772,ok
75154,1.0,116,?,not_applicable
75177,1.0,117,0.04366392008249165,ok
2117,1.0,118,0.030101388707305388,ok
75156,1.0,119,0.12785728733246993,ok
75097,1.0,120,0.016261008313539493,ok
75101,1.0,121,0.18253090770820612,ok
75172,1.0,122,?,not_applicable
75106,1.0,123,0.8354934073272688,ok
75179,1.0,124,0.21620021154356506,ok
75187,1.0,125,0.0012821066451785823,ok
75120,1.0,126,0.0035852132645233237,ok
75193,1.0,127,?,not_applicable
