@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE balanced_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.12055882293523357,ok
75193,1.0,2,0.05570147909402934,ok
2117,1.0,3,0.17548618736408272,ok
75156,1.0,4,0.22313433229150748,ok
75129,1.0,5,0.21139308855291583,ok
75243,1.0,6,0.02741169837497348,ok
75110,1.0,7,0.292400218490373,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.3513704849874423,ok
75221,1.0,10,0.5127596762099687,ok
258,1.0,11,0.01797504123780258,ok
75121,1.0,12,0.045454545454545414,ok
253,1.0,13,0.4487779181115149,ok
261,1.0,14,0.31385281385281383,ok
75240,1.0,15,0.017683772538141462,ok
75120,1.0,16,0.2546523517382413,ok
75124,1.0,17,0.2107615894039736,ok
75176,1.0,18,0.016640035468590053,ok
75103,1.0,19,0.01660181821534601,ok
75207,1.0,20,0.1890011398955863,ok
75095,1.0,21,0.04590735712181182,ok
273,1.0,22,0.049601841028638294,ok
75174,1.0,23,0.1520296780824476,ok
75153,1.0,24,0.12110304789550075,ok
75093,1.0,25,0.3286900890421619,ok
75119,1.0,26,0.1288429752066116,ok
75201,1.0,27,0.0997376911529182,ok
75215,1.0,28,0.029887049159286416,ok
75172,1.0,29,0.10886921886815126,ok
75169,1.0,30,0.0340573619843737,ok
75202,1.0,31,0.42493459653140053,ok
75233,1.0,32,0.08355891180172326,ok
75231,1.0,33,0.15778968253968262,ok
75196,1.0,34,0.028346047156726728,ok
248,1.0,35,0.2701991669030601,ok
75191,1.0,36,0.12329305343461994,ok
75217,1.0,37,0.0,ok
260,1.0,38,0.07198862873636425,ok
75115,1.0,39,0.09070773400041698,ok
75123,1.0,40,0.32871263757742397,ok
75108,1.0,41,0.00232727928992138,ok
75101,1.0,42,0.28377248501244257,ok
75192,1.0,43,0.48263188489323006,ok
75232,1.0,44,0.1759384976698103,ok
75173,1.0,45,0.11733360389610392,ok
75197,1.0,46,0.2040950900493621,ok
266,1.0,47,0.031108344044042946,ok
75148,1.0,48,0.19038707564842594,ok
75150,1.0,49,0.32022768927111245,ok
75100,1.0,50,0.27498250252741274,ok
75178,1.0,51,0.8079895490982436,ok
75236,1.0,52,0.032106570444582316,ok
75179,1.0,53,0.20149749000255257,ok
75213,1.0,54,0.06273157272368945,ok
2123,1.0,55,0.256388888888889,ok
75227,1.0,56,0.12397340187955186,ok
75184,1.0,57,0.18267180532449523,ok
75142,1.0,58,0.08134030645745782,ok
236,1.0,59,0.04240504096821618,ok
