@RELATION "NIPS paper_ALGORITHM_RUNS"

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE bac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
16_bac,1.0,71,0.00128048158351,ok
962_bac,1.0,94,0.0,ok
959_bac,1.0,38,0.043539744771,ok
44_bac,1.0,82,0.0291445888074,ok
38_bac,1.0,92,0.00524514880014,ok
1067_bac,1.0,9,0.328089569161,ok
26_bac,1.0,39,6.19818123822e-05,ok
389_bac,1.0,15,0.0600260523713,ok
807_bac,1.0,24,0.0602825546372,ok
1112_bac,1.0,127,0.656479423453,ok
980_bac,1.0,12,5.71657234323e-05,ok
816_bac,1.0,19,0.195842916447,ok
752_bac,1.0,132,0.0671638810515,ok
751_bac,1.0,100,0.0550978564772,ok
720_bac,1.0,101,0.23464674256,ok
1019_bac,1.0,69,0.000480260480261,ok
1040_bac,1.0,125,0.00236707659129,ok
930_bac,1.0,88,0.329636943643,ok
772_bac,1.0,114,0.905717418546,ok
1021_bac,1.0,90,0.00989435798314,ok
903_bac,1.0,68,0.0418906810036,ok
32_bac,1.0,91,0.000738712050985,ok
46_bac,1.0,56,0.00708195056534,ok
185_bac,1.0,62,0.065336499382,ok
28_bac,1.0,84,8.46347181942e-05,ok
31_bac,1.0,104,0.424417333508,ok
976_bac,1.0,5,0.000396345719704,ok
845_bac,1.0,36,0.0831863609641,ok
1134_bac,1.0,131,0.0149188240456,ok
1068_bac,1.0,78,0.288680351906,ok
392_bac,1.0,1,0.0630992411842,ok
14_bac,1.0,118,0.0290684624018,ok
300_bac,1.0,77,0.00155438586897,ok
1161_bac,1.0,63,0.041325695581,ok
179_bac,1.0,106,0.17250702501,ok
823_bac,1.0,14,0.00206489986421,ok
881_bac,1.0,116,0.0,ok
679_bac,1.0,139,0.488933971286,ok
723_bac,1.0,99,0.0419370388224,ok
21_bac,1.0,13,0.000275481372571,ok
1128_bac,1.0,60,0.0288410419989,ok
6_bac,1.0,95,0.000925302994018,ok
734_bac,1.0,123,0.0759647976741,ok
23_bac,1.0,113,0.469965341421,ok
1020_bac,1.0,98,0.000306091215182,ok
12_bac,1.0,67,0.000408121620243,ok
966_bac,1.0,86,0.0792379565587,ok
1002_bac,1.0,122,0.267398276729,ok
1069_bac,1.0,130,0.395345672292,ok
396_bac,1.0,26,0.076515369451,ok
390_bac,1.0,38,0.043539744771,ok
993_bac,1.0,54,0.0156882688211,ok
821_bac,1.0,96,0.106339994728,ok
740_bac,1.0,52,0.0590493942218,ok
913_bac,1.0,87,0.0447474481148,ok
351_bac,1.0,74,0.0363923520847,ok
897_bac,1.0,47,0.000323258445127,ok
3_bac,1.0,35,0.00136476248091,ok
806_bac,1.0,6,0.0384372328166,ok
183_bac,1.0,120,0.747338864847,ok
822_bac,1.0,29,0.0829636591955,ok
180_bac,1.0,27,0.230600683522,ok
18_bac,1.0,20,0.0609427609428,ok
917_bac,1.0,107,0.0513333333333,ok
971_bac,1.0,41,0.0,ok
30_bac,1.0,48,0.0194763809535,ok
1056_bac,1.0,30,0.139675282809,ok
958_bac,1.0,85,0.000224447998204,ok
1111_bac,1.0,105,0.340190204182,ok
978_bac,1.0,25,0.000510152025303,ok
393_bac,1.0,89,0.074971175541,ok
60_bac,1.0,32,0.0451084007534,ok
1130_bac,1.0,137,0.101546601547,ok
1139_bac,1.0,109,0.17006185567,ok
715_bac,1.0,115,0.0428826682549,ok
722_bac,1.0,108,0.00122021162039,ok
803_bac,1.0,75,0.0438437706687,ok
184_bac,1.0,73,0.00912422238158,ok
1119_bac,1.0,23,0.16853612369,ok
357_bac,1.0,22,0.162148741112,ok
799_bac,1.0,46,0.0469438730532,ok
797_bac,1.0,135,0.0603168685927,ok
1049_bac,1.0,33,0.119886204271,ok
846_bac,1.0,0,0.108121326372,ok
866_bac,1.0,112,0.0474033816425,ok
837_bac,1.0,70,0.0293670510586,ok
399_bac,1.0,10,0.0969419244699,ok
1050_bac,1.0,18,0.343657035739,ok
761_bac,1.0,110,0.0365503633776,ok
1169_bac,1.0,18,0.343657035739,ok
1114_bac,1.0,121,0.447331591396,ok
743_bac,1.0,124,0.0173887306227,ok
914_bac,1.0,103,0.243654313563,ok
718_bac,1.0,72,0.0523446833931,ok
293_bac,1.0,55,0.282238648593,ok
182_bac,1.0,102,0.0158344626891,ok
843_bac,1.0,31,0.108464806881,ok
725_bac,1.0,134,0.0193625646479,ok
1041_bac,1.0,42,0.00418114610277,ok
847_bac,1.0,65,0.116024446674,ok
