@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,0.015979814970563555,ok
autouniv-au1-1000,1.0,7,0.11602209944751385,ok
hill-valley,1.0,9,0.0,ok
eye_movements,1.0,13,?,not_applicable
abalone,1.0,16,?,not_applicable
tamilnadu-electricity,1.0,19,?,not_applicable
xd6,1.0,22,0.0,ok
colleges_usnews,1.0,26,0.24942791762013738,ok
pc4,1.0,28,0.3653846153846154,ok
fri_c3_500_50,1.0,32,0.08510638297872342,ok
run_or_walk_information,1.0,37,0.008416010947656427,ok
satellite,1.0,40,0.15000000000000002,ok
2dplanes,1.0,44,0.06892573900504695,ok
wine-quality-red,1.0,47,?,not_applicable
arsenic-female-bladder,1.0,50,0.4782608695652174,ok
kuzushiji-mnist,1.0,54,?,not_applicable
anneal,1.0,57,?,not_applicable
fri_c3_1000_25,1.0,61,0.0603674540682414,ok
pollen,1.0,67,0.4393723252496434,ok
volcanoes-b5,1.0,68,?,not_applicable
titanic,1.0,72,0.4029850746268657,ok
strikes,1.0,75,0.0,ok
madeline,1.0,81,0.0808753568030447,ok
cardiotocography,1.0,83,?,not_applicable
kick,1.0,84,0.6025199096636158,ok
microaggregation2,1.0,88,?,not_applicable
monks-problems-2,1.0,91,0.0,ok
autouniv-au6-750,1.0,95,?,not_applicable
meta_stream_intervals.arff,1.0,98,?,not_applicable
diabetes130us,1.0,101,?,not_applicable
steel-plates-fault,1.0,104,?,not_applicable
bank8fm,1.0,108,0.0670265407107512,ok
semeion,1.0,111,?,not_applicable
elevators,1.0,114,0.162170542635659,ok
umist_faces_cropped,1.0,118,?,not_applicable
isolet,1.0,121,?,not_applicable
led24,1.0,124,?,not_applicable
satimage,1.0,127,?,not_applicable
pbcseq,1.0,131,0.14603174603174607,ok
bachchoralharmony,1.0,134,?,not_applicable
compas-two-years,1.0,138,0.34426229508196726,ok
volcanoes-b6,1.0,141,?,not_applicable
philippine,1.0,145,0.1670081967213114,ok
irish,1.0,147,0.0,ok
monks-problems-1,1.0,149,0.0,ok
porto-seguro,1.0,150,0.8997165261569047,ok
arsenic-female-lung,1.0,154,0.05882352941176472,ok
autouniv-au7-1100,1.0,158,?,not_applicable
steel-plates-fault,1.0,162,0.0,ok
speeddating,1.0,167,0.44728761514841353,ok
devnagari-script,1.0,169,?,not_applicable
arsenic-male-lung,1.0,172,0.0,ok
fars,1.0,173,?,not_applicable
wdbc,1.0,176,0.014705882352941124,ok
hiva_agnostic,1.0,180,0.6533333333333333,ok
rmftsa_ladata,1.0,185,0.12121212121212133,ok
banknote-authentication,1.0,188,0.0,ok
visualizing_soil,1.0,191,0.0004030632809350898,ok
wine-quality-white,1.0,193,?,not_applicable
analcatdata_dmft,1.0,196,?,not_applicable
ova_colon,1.0,199,0.02026221692491048,ok
volcanoes-e1,1.0,203,?,not_applicable
cpu_small,1.0,206,0.04969760715224825,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_75_edm-2_001,1.0,211,0.26335877862595414,ok
dresses-sales,1.0,216,0.484375,ok
tokyo1,1.0,220,0.060109289617486406,ok
parity5_plus_5,1.0,222,0.0,ok
delta_ailerons,1.0,227,0.0631045601105481,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_50_edm-2_001,1.0,230,0.2737226277372262,ok
mammography,1.0,235,0.28104575163398693,ok
first-order-theorem-proving,1.0,236,?,not_applicable
pol,1.0,238,0.014970974641002277,ok
one-hundred-plants-margin,1.0,242,?,not_applicable
volcanoes-a2,1.0,245,?,not_applicable
kdd_el_nino-small,1.0,251,0.03951367781155013,ok
kc2,1.0,255,0.4042553191489362,ok
fri_c3_1000_10,1.0,257,0.06857142857142862,ok
house_16h,1.0,260,0.18521758145637446,ok
ozone-level-8hr,1.0,263,0.5569620253164558,ok
analcatdata_supreme,1.0,266,0.006413418845584551,ok
meta,1.0,270,0.5,ok
kdd98,1.0,273,0.7475964987803128,ok
nursery,1.0,277,?,not_applicable
cmc,1.0,280,?,not_applicable
delta_elevators,1.0,283,0.1128428927680798,ok
kropt,1.0,287,?,not_applicable
mnist_784,1.0,290,?,not_applicable
arsenic-male-bladder,1.0,293,0.19999999999999996,ok
letter,1.0,297,?,not_applicable
mc1,1.0,302,0.4285714285714286,ok
ova_prostate,1.0,304,0.0,ok
volcanoes-b2,1.0,308,?,not_applicable
hypothyroid,1.0,311,?,not_applicable
autouniv-au7-700,1.0,314,?,not_applicable
ova_lung,1.0,317,0.007423117709437932,ok
pokerhand,1.0,321,?,not_applicable
quake,1.0,324,0.39217652958876625,ok
stock,1.0,329,0.02752293577981657,ok
fri_c2_1000_25,1.0,332,0.04986876640419957,ok
fried,1.0,338,0.059005070174149465,ok
volcanoes-a4,1.0,340,?,not_applicable
no2,1.0,343,0.33333333333333326,ok
space_ga,1.0,347,0.11985018726591756,ok
led-display-domain-7digit,1.0,351,?,not_applicable
pc1,1.0,355,0.5319148936170213,ok
fri_c0_500_5,1.0,358,0.06818181818181823,ok
ova_breast,1.0,363,0.013801756587202063,ok
mozilla4,1.0,367,0.0315820113520594,ok
