@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
pollen,1.0,1,0.4990609334005145,ok
ova_omentum,1.0,3,0.2160171755248771,ok
pol,1.0,321,0.010515788091121525,ok
colleges_usnews,1.0,6,0.25176056338028174,ok
mfeat-karhunen,1.0,8,0.009167707463102248,ok
mfeat-zernike,1.0,233,0.1390481036362694,ok
spoken-arabic-digit,1.0,11,0.7427695186787644,ok
thyroid_sick,1.0,13,0.03339776632302405,ok
pc4,1.0,52,0.21956529372520106,ok
steel-plates-fault,1.0,15,0.0,ok
delta_elevators,1.0,265,0.11689037401612934,ok
phishingwebsites,1.0,18,0.025409237224599868,ok
puma8nh,1.0,20,0.1602095702850963,ok
magictelescope,1.0,23,0.12521094037237446,ok
phoneme,1.0,28,0.1136392606755896,ok
cpu_act,1.0,91,0.07144512043105355,ok
house_8l,1.0,138,0.1308830166459224,ok
cmc,1.0,27,0.4553630057801362,ok
quake,1.0,214,0.4539744656067559,ok
twonorm,1.0,267,0.015160975246336195,ok
bank-marketing,1.0,31,0.24811878668208642,ok
gina_prior2,1.0,32,0.04487031363995653,ok
analcatdata_halloffame,1.0,130,0.12955966649296502,ok
one-hundred-plants-texture,1.0,35,0.16025723150258753,ok
wind,1.0,325,0.12247978167856655,ok
baseball,1.0,39,0.2728637081103874,ok
rmftsa_sleepdata,1.0,41,0.28446399218090535,ok
analcatdata_supreme,1.0,385,0.013197688942749863,ok
colleges_aaup,1.0,44,0.0098700316974909,ok
wap.wc,1.0,49,0.22851405078613207,ok
ipums_la_98-small,1.0,54,0.3724457728933406,ok
hypothyroid,1.0,58,0.011076681981693204,ok
sylva_prior,1.0,335,0.01697995387096851,ok
ova_ovary,1.0,63,0.07346467489355568,ok
waveform-5000,1.0,110,0.12849384565511934,ok
car,1.0,65,0.0,ok
elevators,1.0,156,0.11409794590099909,ok
ringnorm,1.0,68,0.023752043397503364,ok
optdigits,1.0,75,0.00692767980646547,ok
kin8nm,1.0,281,0.08881066647975078,ok
re0.wc,1.0,78,0.11716038255353034,ok
space_ga,1.0,329,0.12787498488165783,ok
wall-robot-navigation,1.0,82,0.00035312160999512177,ok
pc1,1.0,84,0.2457912457912459,ok
ailerons,1.0,177,0.11136260871412706,ok
mfeat-fourier,1.0,445,0.11600101079227121,ok
bank8fm,1.0,165,0.05347356307286033,ok
first-order-theorem-proving,1.0,93,0.5053669023466378,ok
eeg-eye-state,1.0,213,0.01920629850123401,ok
re1.wc,1.0,97,0.23131478232626645,ok
sick,1.0,99,0.03339776632302405,ok
ohscal.wc,1.0,105,0.1832432178053306,ok
house_16h,1.0,108,0.13031841990834225,ok
walking-activity,1.0,111,0.38079404736585654,ok
bank32nh,1.0,114,0.2133392002827349,ok
splice,1.0,115,0.03518599764472263,ok
mfeat-factors,1.0,116,0.007571576548521031,ok
oh10.wc,1.0,117,0.17348143014024586,ok
2dplanes,1.0,121,0.06950713169008327,ok
kc1,1.0,124,0.274523627381863,ok
nursery,1.0,126,0.0,ok
cal_housing,1.0,259,0.10272887483111304,ok
kr-vs-kp,1.0,136,0.0028607850783188837,ok
fried,1.0,139,0.05813364377888852,ok
houses,1.0,328,0.015942083609898683,ok
pendigits,1.0,146,0.0025032535309135184,ok
