@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
1112_acc,1.0,1,2.0,ok
179_acc,1.0,1,0.211291942938,ok
6_acc,1.0,1,0.0421884010688,ok
807_acc,1.0,1,0.331205407435,ok
734_acc,1.0,10,0.200189933523,ok
715_acc,1.0,1,0.235897435897,ok
1040_acc,1.0,1,0.166962699822,ok
32_acc,1.0,1,0.012430556276,ok
797_acc,1.0,9,0.263157894737,ok
389_acc,1.0,2,0.284248003047,ok
392_acc,1.0,7,0.138948971821,ok
718_acc,1.0,1,0.362352941176,ok
1036_acc,1.0,1,0.256983240223,ok
396_acc,1.0,1,0.347058846739,ok
849_acc,1.0,10,0.305882352941,ok
300_acc,1.0,1,0.0778891562845,ok
399_acc,1.0,1,0.328988608962,ok
1068_acc,1.0,1,1.22222222222,ok
866_acc,1.0,5,0.184615384615,ok
991_acc,1.0,12,0.0289855072464,ok
46_acc,1.0,1,0.0798426198235,ok
1021_acc,1.0,1,0.247838616715,ok
24_acc,1.0,1,0.0,ok
1041_acc,1.0,1,0.0923509283001,ok
1128_acc,1.0,1,0.0807833537332,ok
979_acc,1.0,1,0.150976909414,ok
846_acc,1.0,8,0.487838776928,ok
44_acc,1.0,1,0.117647058824,ok
995_acc,1.0,1,0.0117154811715,ok
913_acc,1.0,1,0.183673469388,ok
910_acc,1.0,1,0.150537634409,ok
821_acc,1.0,1,0.38242169238,ok
3_acc,1.0,1,0.0119521912351,ok
1000_acc,1.0,1,0.0310880829016,ok
18_acc,1.0,1,0.315621786051,ok
761_acc,1.0,1,0.0902136639409,ok
977_acc,1.0,1,0.00614028182319,ok
728_acc,1.0,1,0.00983284169125,ok
60_acc,1.0,6,0.216867816992,ok
953_acc,1.0,1,0.0449657869013,ok
1138_acc,1.0,1,0.0864197530864,ok
904_acc,1.0,13,0.208588957055,ok
1166_acc,1.0,1,0.121405750799,ok
740_acc,1.0,1,0.170542635659,ok
1018_acc,1.0,1,1.72946859903,ok
806_acc,1.0,11,0.21164021164,ok
727_acc,1.0,1,0.162234437676,ok
881_acc,1.0,1,0.00510935260764,ok
1053_acc,1.0,1,1.32684824903,ok
833_acc,1.0,1,0.737288135593,ok
1002_acc,1.0,1,1.72789115646,ok
1161_acc,1.0,1,0.0568720379147,ok
1119_acc,1.0,1,0.641651031895,ok
737_acc,1.0,1,0.317613089509,ok
390_acc,1.0,1,0.235011633791,ok
30_acc,1.0,1,0.154985958025,ok
554_acc,1.0,1,0.0423630064738,ok
971_acc,1.0,1,0.00671140939597,ok
930_acc,1.0,1,0.511415525114,ok
978_acc,1.0,1,0.010067114094,ok
26_acc,1.0,1,0.256583405527,ok
1067_acc,1.0,1,1.16167664671,ok
182_acc,1.0,1,0.129057934307,ok
903_acc,1.0,1,0.201058201058,ok
837_acc,1.0,1,0.335078534031,ok
959_acc,1.0,1,0.0,ok
843_acc,1.0,1,0.405462679538,ok
743_acc,1.0,1,0.139275766017,ok
720_acc,1.0,1,0.412517780939,ok
813_acc,1.0,1,0.190476190476,ok
1019_acc,1.0,1,0.00584525457622,ok
181_acc,1.0,1,0.605774408943,ok
752_acc,1.0,1,0.271274619101,ok
962_acc,1.0,1,0.0,ok
16_acc,1.0,1,0.0576368158719,ok
