@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_samples NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,?,not_applicable
autouniv-au1-1000,1.0,4,?,not_applicable
hill-valley,1.0,8,?,not_applicable
eye_movements,1.0,9,?,not_applicable
abalone,1.0,12,?,not_applicable
tamilnadu-electricity,1.0,15,?,not_applicable
xd6,1.0,18,?,not_applicable
colleges_usnews,1.0,19,?,not_applicable
pc4,1.0,23,?,not_applicable
fri_c3_500_50,1.0,25,?,not_applicable
run_or_walk_information,1.0,29,?,not_applicable
satellite,1.0,32,?,not_applicable
2dplanes,1.0,36,?,not_applicable
wine-quality-red,1.0,39,?,not_applicable
arsenic-female-bladder,1.0,41,?,not_applicable
kuzushiji-mnist,1.0,45,?,not_applicable
anneal,1.0,47,?,not_applicable
pollen,1.0,49,?,not_applicable
volcanoes-b5,1.0,53,?,not_applicable
titanic,1.0,56,?,not_applicable
strikes,1.0,60,?,not_applicable
madeline,1.0,63,?,not_applicable
cardiotocography,1.0,67,?,not_applicable
kick,1.0,68,?,not_applicable
microaggregation2,1.0,69,?,not_applicable
autouniv-au6-750,1.0,71,?,not_applicable
meta_stream_intervals.arff,1.0,73,?,not_applicable
diabetes130us,1.0,76,?,not_applicable
steel-plates-fault,1.0,78,?,not_applicable
bank8fm,1.0,81,?,not_applicable
semeion,1.0,84,?,not_applicable
elevators,1.0,87,?,not_applicable
umist_faces_cropped,1.0,89,?,not_applicable
isolet,1.0,90,?,not_applicable
led24,1.0,93,?,not_applicable
satimage,1.0,96,?,not_applicable
pbcseq,1.0,98,?,not_applicable
bachchoralharmony,1.0,102,?,not_applicable
compas-two-years,1.0,104,?,not_applicable
volcanoes-b6,1.0,108,?,not_applicable
philippine,1.0,110,?,not_applicable
irish,1.0,113,?,not_applicable
monks-problems-1,1.0,115,?,not_applicable
porto-seguro,1.0,116,?,not_applicable
arsenic-female-lung,1.0,120,?,not_applicable
autouniv-au7-1100,1.0,124,?,not_applicable
steel-plates-fault,1.0,127,?,not_applicable
speeddating,1.0,130,?,not_applicable
devnagari-script,1.0,134,?,not_applicable
fars,1.0,137,?,not_applicable
wdbc,1.0,140,?,not_applicable
hiva_agnostic,1.0,143,?,not_applicable
rmftsa_ladata,1.0,145,?,not_applicable
banknote-authentication,1.0,148,?,not_applicable
visualizing_soil,1.0,149,?,not_applicable
wine-quality-white,1.0,151,?,not_applicable
analcatdata_dmft,1.0,152,?,not_applicable
ova_colon,1.0,154,?,not_applicable
volcanoes-e1,1.0,157,?,not_applicable
cpu_small,1.0,160,?,not_applicable
gametes_heterogeneity_20atts_1600_het_0.4_0.2_75_edm-2_001,1.0,164,?,not_applicable
dresses-sales,1.0,168,?,not_applicable
tokyo1,1.0,172,?,not_applicable
parity5_plus_5,1.0,176,?,not_applicable
delta_ailerons,1.0,177,?,not_applicable
gametes_heterogeneity_20atts_1600_het_0.4_0.2_50_edm-2_001,1.0,179,?,not_applicable
mammography,1.0,181,?,not_applicable
first-order-theorem-proving,1.0,185,?,not_applicable
pol,1.0,187,?,not_applicable
one-hundred-plants-margin,1.0,191,?,not_applicable
volcanoes-a2,1.0,194,?,not_applicable
kdd_el_nino-small,1.0,197,?,not_applicable
kc2,1.0,200,?,not_applicable
fri_c3_1000_10,1.0,203,?,not_applicable
house_16h,1.0,207,?,not_applicable
ozone-level-8hr,1.0,209,?,not_applicable
analcatdata_supreme,1.0,212,?,not_applicable
meta,1.0,215,?,not_applicable
kdd98,1.0,218,?,not_applicable
cmc,1.0,222,?,not_applicable
delta_elevators,1.0,225,?,not_applicable
kropt,1.0,226,?,not_applicable
mnist_784,1.0,228,?,not_applicable
