@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC

@DATA
75123,1.0,1e-05,1e-05,1e-05,1e-05,0.00253,0.00221,1e-05,0.00024,3e-05,0.00011,0.0,2e-05,2e-05,5e-05,8e-05,2e-05,1e-05,7e-05,1e-05,0.00072,1e-05,1e-05,0.00019,0.00041,0.00011,0.00061,0.00012,9e-05,0.00015,0.00025,0.00067,0.00014,0.00011,0.00016,0.00027
75090,1.0,1e-05,1e-05,2e-05,2e-05,0.00815,0.00368,7e-05,0.00228,9e-05,0.00235,0.0,5e-05,5e-05,0.0001,0.00013,0.00013,1e-05,0.00021,2e-05,0.00064,0.0,0.0,0.00014,0.00038,0.00011,0.00066,0.00011,0.00014,0.00014,0.00026,0.00066,0.00011,0.00013,0.00015,0.00027
2123,1.0,1e-05,1e-05,1e-05,1e-05,0.00097,0.00079,1e-05,0.00013,1e-05,7e-05,0.0,2e-05,2e-05,5e-05,8e-05,2e-05,1e-05,5e-05,1e-05,0.0007,1e-05,0.0,0.00017,0.00042,0.0001,0.00052,6e-05,8e-05,0.00012,0.00026,0.00049,6e-05,0.00011,9e-05,0.00023
248,1.0,1e-05,1e-05,1e-05,1e-05,0.00088,0.00077,1e-05,0.0001,1e-05,4e-05,0.0,1e-05,1e-05,4e-05,5e-05,2e-05,1e-05,4e-05,1e-05,0.00041,1e-05,0.0,9e-05,0.00022,9e-05,0.00046,6e-05,8e-05,9e-05,0.00023,0.00049,7e-05,0.0001,0.0001,0.00021
75101,1.0,1e-05,1e-05,1e-05,1e-05,0.0418,0.03546,1e-05,0.00389,1e-05,0.00248,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,5e-05,2e-05,0.00045,1e-05,0.0,0.00011,0.00023,0.0001,0.00041,6e-05,8e-05,0.0001,0.00018,0.00047,6e-05,0.0001,8e-05,0.00023
75191,1.0,1e-05,1e-05,3e-05,1e-05,0.53436,0.40777,2e-05,0.09655,3e-05,0.0301,1e-05,2e-05,3e-05,5e-05,0.00011,7e-05,1e-05,0.00011,3e-05,0.00084,5e-05,7e-05,0.00017,0.00033,0.00023,0.00088,0.00012,0.00017,0.00032,0.00026,0.00068,9e-05,0.00012,0.00013,0.00035
75187,1.0,1e-05,1e-05,2e-05,1e-05,0.00548,0.00473,1e-05,0.0005,2e-05,0.00029,1e-05,2e-05,2e-05,7e-05,9e-05,3e-05,1e-05,6e-05,1e-05,0.00062,1e-05,1e-05,0.00014,0.00033,0.00013,0.00038,7e-05,7e-05,8e-05,0.00016,0.00047,6e-05,9e-05,9e-05,0.00023
266,1.0,1e-05,1e-05,1e-05,1e-05,0.0018,0.00146,1e-05,0.00023,2e-05,0.00015,2e-05,2e-05,2e-05,6e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00059,1e-05,1e-05,0.00014,0.00031,0.00013,0.0004,5e-05,7e-05,8e-05,0.0002,0.00044,8e-05,8e-05,8e-05,0.0002
253,1.0,1e-05,1e-05,1e-05,1e-05,0.00082,0.00063,1e-05,0.00016,2e-05,5e-05,0.0,1e-05,1e-05,4e-05,5e-05,2e-05,1e-05,5e-05,2e-05,0.00046,1e-05,0.0,9e-05,0.00024,0.00012,0.00044,6e-05,7e-05,8e-05,0.00023,0.00043,6e-05,0.0001,8e-05,0.00019
75217,1.0,1e-05,1e-05,2e-05,1e-05,0.00196,0.00158,1e-05,0.00026,2e-05,0.00016,1e-05,3e-05,3e-05,7e-05,0.0001,3e-05,1e-05,7e-05,2e-05,0.00089,1e-05,1e-05,0.00022,0.00053,0.00013,0.00074,9e-05,0.0001,0.00019,0.00036,0.00065,0.00013,0.0001,0.00011,0.00031
75176,1.0,1e-05,1e-05,2e-05,1e-05,0.01406,0.01285,1e-05,0.00094,2e-05,0.00031,1e-05,3e-05,3e-05,6e-05,9e-05,3e-05,1e-05,7e-05,2e-05,0.00069,1e-05,1e-05,0.00017,0.00035,0.00015,0.00085,0.00018,0.00011,0.0002,0.00036,0.0011,0.00022,0.00023,0.00023,0.00042
