@RELATION "NIPS paper_ALGORITHM_RUNS"

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE bac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
16_bac,1.0,71,0.296783131962,ok
962_bac,1.0,94,0.00211494814362,ok
959_bac,1.0,38,0.960571723824,ok
44_bac,1.0,82,0.425216407077,ok
38_bac,1.0,92,0.21236041757,ok
1067_bac,1.0,9,1.03262963457,ok
26_bac,1.0,39,0.00400607870647,ok
389_bac,1.0,15,0.851307187243,ok
807_bac,1.0,24,0.448701017303,ok
1112_bac,1.0,127,1.53756990589,ok
980_bac,1.0,12,0.25085194223,ok
816_bac,1.0,19,0.79498166632,ok
752_bac,1.0,132,0.503665708191,ok
751_bac,1.0,100,0.390619864152,ok
720_bac,1.0,101,0.700482200501,ok
1019_bac,1.0,69,0.273101202593,ok
1040_bac,1.0,125,0.147549353251,ok
930_bac,1.0,88,0.807365280507,ok
772_bac,1.0,114,1.003412728,ok
1021_bac,1.0,90,0.258207541462,ok
903_bac,1.0,68,0.386566960952,ok
32_bac,1.0,91,0.0474626521099,ok
46_bac,1.0,56,0.149707994405,ok
185_bac,1.0,62,0.678405501819,ok
28_bac,1.0,84,0.0559487434577,ok
31_bac,1.0,104,0.886639081103,ok
976_bac,1.0,5,0.163812346211,ok
845_bac,1.0,36,0.597263943848,ok
1134_bac,1.0,131,0.305217731358,ok
1068_bac,1.0,78,1.43012961569,ok
392_bac,1.0,1,0.786611794243,ok
14_bac,1.0,118,0.381492561287,ok
300_bac,1.0,77,0.205882979614,ok
1161_bac,1.0,63,0.469675907251,ok
179_bac,1.0,106,0.755769591227,ok
823_bac,1.0,14,0.227718534129,ok
881_bac,1.0,116,0.023046432953,ok
679_bac,1.0,139,0.911015026597,ok
723_bac,1.0,99,0.346643257464,ok
21_bac,1.0,13,0.0426164447826,ok
1128_bac,1.0,60,0.503596498619,ok
6_bac,1.0,95,0.28234696646,ok
734_bac,1.0,123,0.4503674573,ok
23_bac,1.0,113,0.901004889576,ok
1020_bac,1.0,98,0.17859909253,ok
12_bac,1.0,67,0.122375351522,ok
966_bac,1.0,86,0.689837885754,ok
1002_bac,1.0,122,1.088662726,ok
1069_bac,1.0,130,1.11566109174,ok
396_bac,1.0,26,0.7287093327,ok
390_bac,1.0,38,0.960571723824,ok
993_bac,1.0,54,0.164755609649,ok
821_bac,1.0,96,0.542597332678,ok
740_bac,1.0,52,0.461036610964,ok
913_bac,1.0,87,0.390946306769,ok
351_bac,1.0,74,0.402187794865,ok
897_bac,1.0,47,0.062423018004,ok
3_bac,1.0,35,0.0490520287241,ok
806_bac,1.0,6,0.328713189321,ok
183_bac,1.0,120,0.96313958703,ok
822_bac,1.0,29,0.487055680664,ok
180_bac,1.0,27,0.709133816651,ok
18_bac,1.0,20,0.520798154646,ok
917_bac,1.0,107,0.449597219295,ok
971_bac,1.0,41,0.437618797725,ok
30_bac,1.0,48,0.425087512676,ok
1056_bac,1.0,30,1.93044601808,ok
958_bac,1.0,85,0.0632412438489,ok
1111_bac,1.0,105,3.08847176186,ok
978_bac,1.0,25,0.0374740353625,ok
393_bac,1.0,89,0.865383426133,ok
60_bac,1.0,32,0.38000462203,ok
1130_bac,1.0,137,0.440450357051,ok
1139_bac,1.0,109,0.978982726222,ok
