@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC

@DATA
233,1.0,0.00057,0.0032,0.00306,2e-05,0.00986,0.05681,0.1773,0.00044,0.00357,0.01609,2e-05,0.0002,9e-05,1e-05,0.00086,4e-05,1e-05,4e-05,4e-05,6e-05,5e-05,1e-05,0.00035,6e-05,0.00044,0.05516,1e-05,0.00358,0.03144,2e-05,0.026,0.00011,0.0001,0.00028,1e-05,0.00025,0.12439,1e-05,1e-05,6e-05,2e-05,0.00012,2e-05,1.56556,5e-05,8e-05,1e-05,0.00011,1e-05,4e-05,6e-05,5e-05
236,1.0,0.00052,0.06126,0.00055,2e-05,0.04995,0.32106,0.60304,0.00043,0.06214,0.01058,2e-05,0.00028,0.0001,1e-05,0.03274,6e-05,1e-05,4e-05,5e-05,6e-05,4e-05,1e-05,0.00032,5e-05,0.00018,0.20707,1e-05,0.00085,0.70861,2e-05,0.06058,0.00011,0.00016,0.00063,1e-05,0.00024,2.36639,1e-05,1e-05,0.00011,1e-05,0.00029,2e-05,7.41647,5e-05,0.00055,1e-05,0.00011,2e-05,4e-05,7e-05,5e-05
242,1.0,0.00056,0.00079,0.00055,2e-05,0.02067,0.47505,2.02385,0.00046,0.00158,0.00096,3e-05,0.00023,0.00011,1e-05,0.00071,5e-05,1e-05,5e-05,5e-05,9e-05,5e-05,1e-05,0.00032,7e-05,0.00018,0.0294,1e-05,0.00081,0.07827,3e-05,0.02168,0.00012,0.00011,0.00055,1e-05,0.00024,1.45282,1e-05,1e-05,7e-05,2e-05,0.00031,3e-05,1.20507,5e-05,0.00011,1e-05,0.00012,1e-05,5e-05,8e-05,5e-05
244,1.0,0.00059,0.00064,0.00041,1e-05,0.00795,1.46534,0.83297,0.00045,0.00113,0.01107,0.00409,0.00019,9e-05,1e-05,0.00061,4e-05,1e-05,5e-05,5e-05,6e-05,5e-05,0.0,0.00037,6e-05,0.00016,0.03123,0.0,0.00063,0.21508,4e-05,0.0191,0.00011,0.0001,0.00035,1e-05,0.00024,3.49317,1e-05,1e-05,6e-05,2e-05,0.00018,2e-05,0.93307,8e-05,0.0001,1e-05,0.00011,1e-05,4e-05,7e-05,5e-05
246,1.0,0.00056,0.00063,0.0048,2e-05,0.0012,0.9472,0.44851,0.00047,0.00097,0.00061,3e-05,0.00025,0.0001,1e-05,0.0007,5e-05,1e-05,5e-05,5e-05,7e-05,6e-05,1e-05,0.00032,5e-05,0.00033,0.06431,1e-05,0.00521,0.10702,3e-05,0.00189,0.00012,0.00014,0.00028,1e-05,0.00024,0.92128,1e-05,1e-05,6e-05,2e-05,0.00012,3e-05,0.43409,7e-05,0.00011,1e-05,0.00013,2e-05,4e-05,7e-05,5e-05
248,1.0,0.00048,0.0005,0.00044,1e-05,0.0009,0.04186,0.03988,0.0004,0.00064,0.00049,2e-05,0.0002,9e-05,1e-05,0.00067,4e-05,1e-05,4e-05,5e-05,5e-05,5e-05,0.0,0.00027,5e-05,0.00018,0.03061,0.0,0.00069,0.03734,2e-05,0.00143,0.0001,0.0001,0.00013,1e-05,0.00021,0.06444,1e-05,1e-05,6e-05,1e-05,4e-05,2e-05,0.04907,4e-05,0.0001,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
251,1.0,0.0005,0.00045,0.00046,1e-05,0.00623,0.034,0.19832,0.00044,0.00056,0.00259,2e-05,0.00021,9e-05,1e-05,0.00059,5e-05,1e-05,4e-05,5e-05,6e-05,4e-05,1e-05,0.0003,5e-05,0.00017,0.07776,1e-05,0.00071,0.07463,2e-05,0.00886,0.00011,0.0001,0.00012,1e-05,0.00024,0.06413,1e-05,1e-05,6e-05,2e-05,3e-05,2e-05,0.35706,4e-05,7e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
252,1.0,0.00059,0.00058,0.00484,1e-05,0.00113,1.45253,0.51035,0.00043,0.0009,0.0006,2e-05,0.0002,9e-05,1e-05,0.00062,4e-05,1e-05,4e-05,5e-05,5e-05,6e-05,0.0,0.00036,5e-05,0.0004,0.09033,0.0,0.0053,0.13835,2e-05,0.00178,0.00011,0.0001,0.00023,1e-05,0.00023,2.09983,1e-05,1e-05,5e-05,2e-05,0.00012,2e-05,0.55826,5e-05,9e-05,1e-05,0.00012,1e-05,3e-05,7e-05,5e-05
253,1.0,0.00054,0.00041,0.00068,2e-05,0.01558,0.01273,0.0731,0.00048,0.00058,0.01637,2e-05,0.0003,0.00014,1e-05,0.00056,5e-05,1e-05,4e-05,5e-05,5e-05,4e-05,1e-05,0.00033,5e-05,0.00026,0.03101,0.0,0.00101,0.02491,2e-05,0.032,0.00011,0.00013,0.00015,1e-05,0.00028,0.04835,1e-05,1e-05,6e-05,1e-05,5e-05,2e-05,0.21111,4e-05,0.0001,1e-05,0.00011,1e-05,3e-05,7e-05,0.00012
254,1.0,0.00067,0.00191,0.00079,1e-05,0.00207,0.06512,3.23532,0.00046,0.00248,0.00165,2e-05,0.00021,8e-05,1e-05,0.00183,3e-05,1e-05,6e-05,5e-05,5e-05,6e-05,0.0,0.00041,7e-05,0.00019,0.02997,1e-05,0.00104,0.06705,2e-05,0.00378,0.00012,0.00012,0.00038,1e-05,0.00023,0.20068,1e-05,1e-05,5e-05,2e-05,0.00022,2e-05,6.86616,6e-05,0.00014,1e-05,0.00013,1e-05,3e-05,6e-05,6e-05
