@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
pollen,1.0,1,0.4605210819411296,ok
ova_omentum,1.0,2,0.12083333333333335,ok
pol,1.0,321,0.009901561466236775,ok
colleges_usnews,1.0,6,0.25176048685068464,ok
mfeat-karhunen,1.0,8,0.008968215909552213,ok
mfeat-zernike,1.0,233,0.13932953537930648,ok
spoken-arabic-digit,1.0,11,0.7425429306748224,ok
thyroid_sick,1.0,425,0.0171827773025377,ok
pc4,1.0,52,0.20181586492513537,ok
steel-plates-fault,1.0,15,0.0,ok
delta_elevators,1.0,265,0.1168849109030431,ok
phishingwebsites,1.0,18,0.02446535854682441,ok
puma8nh,1.0,20,0.16020072145394648,ok
magictelescope,1.0,23,0.11174044064439959,ok
phoneme,1.0,190,0.11096032791233468,ok
cpu_act,1.0,102,0.06517212502546221,ok
house_8l,1.0,138,0.11980831235986389,ok
cmc,1.0,27,0.45296181578571837,ok
quake,1.0,331,0.4337979094076655,ok
twonorm,1.0,267,0.015083390112674788,ok
bank-marketing,1.0,31,0.2072153734590283,ok
gina_prior2,1.0,32,0.04444420108454561,ok
analcatdata_halloffame,1.0,33,0.0710945979794606,ok
one-hundred-plants-texture,1.0,36,0.1349285714285713,ok
wind,1.0,325,0.12217684359214509,ok
baseball,1.0,39,0.15689102564102564,ok
rmftsa_sleepdata,1.0,41,0.2781697785497177,ok
analcatdata_supreme,1.0,43,0.007460452657371608,ok
colleges_aaup,1.0,44,0.014150943396226356,ok
wap.wc,1.0,49,0.1608436436182601,ok
ipums_la_98-small,1.0,55,0.27067901234567904,ok
hypothyroid,1.0,204,0.00651495354239251,ok
sylva_prior,1.0,335,0.01433916981512895,ok
ova_ovary,1.0,62,0.0705856255545696,ok
waveform-5000,1.0,110,0.12644984812737425,ok
car,1.0,65,0.0,ok
elevators,1.0,156,0.0847886185207436,ok
ringnorm,1.0,68,0.02365298225087087,ok
optdigits,1.0,75,0.006872995346842048,ok
kin8nm,1.0,281,0.08883311830689133,ok
re0.wc,1.0,215,0.10659813622814096,ok
space_ga,1.0,276,0.12696639938907983,ok
wall-robot-navigation,1.0,82,0.0003506311360448322,ok
pc1,1.0,84,0.03708791208791207,ok
ailerons,1.0,177,0.11139217069440988,ok
