@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,0.01760851760851756,ok
autouniv-au1-1000,1.0,7,0.18787878787878787,ok
hill-valley,1.0,8,0.15037593984962405,ok
eye_movements,1.0,11,0.26191796008869184,ok
abalone,1.0,14,0.8149492017416546,ok
tamilnadu-electricity,1.0,15,0.9396968292844377,ok
xd6,1.0,18,0.0,ok
colleges_usnews,1.0,20,0.2564102564102564,ok
pc4,1.0,24,0.079002079002079,ok
fri_c3_500_50,1.0,26,0.09696969696969693,ok
run_or_walk_information,1.0,29,0.008688513374837559,ok
satellite,1.0,33,0.0035650623885917776,ok
2dplanes,1.0,37,0.06927822790455662,ok
wine-quality-red,1.0,40,0.3377609108159393,ok
arsenic-female-bladder,1.0,44,0.11413043478260865,ok
kuzushiji-mnist,1.0,46,0.05627705627705626,ok
anneal,1.0,48,0.0033783783783783994,ok
pollen,1.0,50,0.4885736800630418,ok
volcanoes-b5,1.0,55,0.03489077669902918,ok
titanic,1.0,56,0.21625344352617082,ok
strikes,1.0,62,0.0,ok
madeline,1.0,65,0.08204633204633205,ok
cardiotocography,1.0,67,0.0,ok
kick,1.0,68,0.09774123899684439,ok
microaggregation2,1.0,69,0.3872727272727273,ok
autouniv-au6-750,1.0,71,0.7044534412955465,ok
meta_stream_intervals.arff,1.0,74,0.004898013955984992,ok
diabetes130us,1.0,77,0.3949437198499196,ok
steel-plates-fault,1.0,79,0.21562499999999996,ok
bank8fm,1.0,81,0.05549389567147611,ok
semeion,1.0,86,0.0323809523809524,ok
elevators,1.0,88,0.09713346722658389,ok
umist_faces_cropped,1.0,89,0.03703703703703709,ok
isolet,1.0,90,0.03420132141469101,ok
led24,1.0,94,0.25757575757575757,ok
