@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,0.015561015561015523,ok
autouniv-au1-1000,1.0,7,0.18787878787878787,ok
hill-valley,1.0,9,0.0,ok
eye_movements,1.0,14,0.17655210643015518,ok
abalone,1.0,17,0.7670537010159652,ok
tamilnadu-electricity,1.0,19,0.9385715231349705,ok
xd6,1.0,22,0.0,ok
colleges_usnews,1.0,25,0.2517482517482518,ok
pc4,1.0,28,0.079002079002079,ok
fri_c3_500_50,1.0,32,0.09696969696969693,ok
run_or_walk_information,1.0,37,0.008414859410275755,ok
satellite,1.0,40,0.0035650623885917776,ok
2dplanes,1.0,43,0.06898089645432248,ok
wine-quality-red,1.0,48,0.31878557874762803,ok
arsenic-female-bladder,1.0,53,0.1032608695652174,ok
kuzushiji-mnist,1.0,56,0.02147186147186142,ok
anneal,1.0,58,0.0033783783783783994,ok
fri_c3_1000_25,1.0,61,0.0696969696969697,ok
pollen,1.0,67,0.48542159180457056,ok
volcanoes-b5,1.0,69,0.03489077669902918,ok
titanic,1.0,71,0.21625344352617082,ok
strikes,1.0,75,0.0,ok
madeline,1.0,81,0.08204633204633205,ok
cardiotocography,1.0,83,0.0,ok
kick,1.0,86,0.09483474505896028,ok
microaggregation2,1.0,88,0.3684848484848485,ok
monks-problems-2,1.0,91,0.0,ok
autouniv-au6-750,1.0,97,0.6720647773279352,ok
meta_stream_intervals.arff,1.0,99,0.004898013955984992,ok
diabetes130us,1.0,102,0.3863676969805253,ok
steel-plates-fault,1.0,105,0.21562499999999996,ok
bank8fm,1.0,108,0.05512393636699964,ok
semeion,1.0,112,0.0323809523809524,ok
elevators,1.0,114,0.09457732335220015,ok
umist_faces_cropped,1.0,120,0.02645502645502651,ok
isolet,1.0,121,0.03342401865526623,ok
led24,1.0,124,0.2547348484848485,ok
satimage,1.0,129,0.07873644507307875,ok
pbcseq,1.0,131,0.14352574102964122,ok
bachchoralharmony,1.0,134,0.8801498127340824,ok
compas-two-years,1.0,138,0.3256748994830557,ok
volcanoes-b6,1.0,142,0.030520646319569078,ok
philippine,1.0,145,0.16943866943866948,ok
irish,1.0,147,0.0,ok
monks-problems-1,1.0,149,0.0,ok
porto-seguro,1.0,150,0.03627449482992995,ok
arsenic-female-lung,1.0,154,0.005434782608695676,ok
autouniv-au7-1100,1.0,160,0.5371900826446281,ok
steel-plates-fault,1.0,162,0.0,ok
speeddating,1.0,165,0.12590448625180894,ok
devnagari-script,1.0,171,0.03764822134387347,ok
arsenic-male-lung,1.0,172,0.0,ok
fars,1.0,173,0.19925567994237525,ok
wdbc,1.0,176,0.010695187165775444,ok
hiva_agnostic,1.0,183,0.03082437275985661,ok
rmftsa_ladata,1.0,184,0.09580838323353291,ok
banknote-authentication,1.0,188,0.0,ok
visualizing_soil,1.0,191,0.00035075412136087447,ok
wine-quality-white,1.0,193,0.31311881188118806,ok
analcatdata_dmft,1.0,197,0.7832699619771863,ok
ova_colon,1.0,199,0.03339882121807469,ok
volcanoes-e1,1.0,204,0.07435897435897432,ok
cpu_small,1.0,206,0.06992230854605996,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_75_edm-2_001,1.0,211,0.26136363636363635,ok
dresses-sales,1.0,214,0.35151515151515156,ok
tokyo1,1.0,220,0.069620253164557,ok
parity5_plus_5,1.0,222,0.0,ok
delta_ailerons,1.0,227,0.05824829931972786,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_50_edm-2_001,1.0,230,0.28409090909090906,ok
mammography,1.0,232,0.011653116531165297,ok
first-order-theorem-proving,1.0,237,0.39940535183349857,ok
pol,1.0,238,0.009898989898989852,ok
one-hundred-plants-margin,1.0,243,0.15719696969696972,ok
volcanoes-a2,1.0,247,0.10467289719626172,ok
kdd_el_nino-small,1.0,251,0.050387596899224785,ok
kc2,1.0,254,0.16279069767441856,ok
fri_c3_1000_10,1.0,257,0.07272727272727275,ok
house_16h,1.0,262,0.10774142059058256,ok
ozone-level-8hr,1.0,264,0.05023923444976075,ok
analcatdata_supreme,1.0,266,0.00972326103216159,ok
meta,1.0,270,0.06896551724137934,ok
kdd98,1.0,275,0.11548372846414368,ok
nursery,1.0,277,0.0,ok
cmc,1.0,282,0.43004115226337447,ok
delta_elevators,1.0,283,0.11528662420382163,ok
kropt,1.0,288,0.07874270900842517,ok
mnist_784,1.0,291,0.016580086580086584,ok
arsenic-male-bladder,1.0,293,0.021739130434782594,ok
letter,1.0,298,0.030303030303030276,ok
mc1,1.0,302,0.004803073967339144,ok
ova_prostate,1.0,304,0.0,ok
volcanoes-b2,1.0,310,0.02840909090909094,ok
hypothyroid,1.0,313,0.002411575562700996,ok
autouniv-au7-700,1.0,315,0.48051948051948057,ok
ova_lung,1.0,317,0.013752455795677854,ok
pokerhand,1.0,322,0.0009647853352628966,ok
quake,1.0,327,0.42618384401114207,ok
stock,1.0,329,0.028753993610223683,ok
fri_c2_1000_25,1.0,332,0.05757575757575761,ok
fried,1.0,338,0.05968928863450529,ok
volcanoes-a4,1.0,340,0.09819639278557113,ok
no2,1.0,345,0.32121212121212117,ok
space_ga,1.0,347,0.1248780487804878,ok
led-display-domain-7digit,1.0,352,0.23636363636363633,ok
pc1,1.0,357,0.0657534246575342,ok
fri_c0_500_5,1.0,358,0.07272727272727275,ok
ova_breast,1.0,363,0.0216110019646365,ok
mozilla4,1.0,367,0.04230844219146035,ok
churn,1.0,369,0.036363636363636376,ok
rl,1.0,375,0.06610055003377402,ok
volcanoes-a3,1.0,378,0.08782435129740518,ok
profb,1.0,382,0.23529411764705888,ok
bank32nh,1.0,386,0.17166111727709954,ok
cylinder-bands,1.0,388,0.1460674157303371,ok
madelon,1.0,393,0.10256410256410253,ok
musk,1.0,395,0.0,ok
monks-problems-3,1.0,399,0.005494505494505475,ok
gtsrb-hog02,1.0,403,0.0028644919911142708,ok
boston_corrected,1.0,407,0.08433734939759041,ok
skin-segmentation,1.0,412,0.0003215115991492823,ok
balance-scale,1.0,414,0.0,ok
traffic_violations,1.0,419,0.20450628985007757,ok
wilt,1.0,422,0.00877192982456143,ok
magictelescope,1.0,426,0.10930528999362654,ok
pc3,1.0,430,0.09708737864077666,ok
japanesevowels,1.0,434,0.006693033160937056,ok
volcanoes-b1,1.0,437,0.030970815961882114,ok
fri_c1_1000_50,1.0,440,0.0636363636363636,ok
splice,1.0,444,0.03136882129277563,ok
optdigits,1.0,445,0.007011866235167252,ok
gtsrb-huehist,1.0,448,0.18987489769671462,ok
amazon-commerce-reviews,1.0,452,0.15959595959595962,ok
ringnorm,1.0,454,0.023341523341523396,ok
gametes_epistasis_2-way_20atts_0.1h_edm-1_1,1.0,460,0.31818181818181823,ok
water-treatment,1.0,461,0.0,ok
breast-w,1.0,467,0.034782608695652195,ok
yeast,1.0,470,0.38854805725971375,ok
gametes_epistasis_2-way_20atts_0.4h_edm-1_1,1.0,473,0.22916666666666663,ok
fri_c2_500_50,1.0,476,0.042424242424242475,ok
micro-mass,1.0,480,0.07446808510638303,ok
indian_pines,1.0,485,0.0553529996685449,ok
miceprotein,1.0,486,0.0,ok
diabetes,1.0,492,0.23320158102766797,ok
collins,1.0,494,0.696969696969697,ok
internet-advertisements,1.0,499,0.020332717190388205,ok
ova_endometrium,1.0,503,0.037328094302554016,ok
phishingwebsites,1.0,506,0.023300438596491224,ok
walking-activity,1.0,509,0.33679660707400716,ok
baseball,1.0,512,0.05429864253393668,ok
page-blocks,1.0,515,0.02436323366555926,ok
houses,1.0,518,0.014828953163999459,ok
waveform-5000,1.0,521,0.12545454545454549,ok
electricity,1.0,524,0.0469502407704655,ok
gtsrb-hog01,1.0,528,0.005962820063135754,ok
puma32h,1.0,532,0.0828708842027377,ok
bioresponse,1.0,536,0.20856911883589324,ok
cjs,1.0,538,0.0032537960954447387,ok
spoken-arabic-digit,1.0,543,0.7427538734258812,ok
fri_c4_500_100,1.0,546,0.08484848484848484,ok
ova_kidney,1.0,548,0.00982318271119842,ok
ldpa,1.0,553,0.005643071154164292,ok
synthetic_control,1.0,555,0.015151515151515138,ok
pm10,1.0,560,0.36969696969696975,ok
ailerons,1.0,563,0.10998457130262285,ok
sensory,1.0,566,0.30000000000000004,ok
usps,1.0,571,0.02574967405475881,ok
kdd_internet_usage,1.0,574,0.09835082458770616,ok
kin8nm,1.0,576,0.08509064002959676,ok
dna,1.0,579,0.039010466222645146,ok
gametes_epistasis_3-way_20atts_0.2h_edm-1_1,1.0,585,0.3295454545454546,ok
volcanoes-d4,1.0,587,0.05604203152364273,ok
fri_c0_1000_5,1.0,590,0.0636363636363636,ok
gesturephasesegmentationprocessed,1.0,595,0.2937384898710865,ok
ova_ovary,1.0,596,0.035363457760314354,ok
