@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75110,1.0,1,0.1328283643254805,ok
75223,1.0,2,0.34853860420334437,ok
75240,1.0,3,0.02080660971852688,ok
75095,1.0,4,0.026607007679325334,ok
75174,1.0,5,0.11715815280049235,ok
75093,1.0,6,0.21282458593560516,ok
75169,1.0,7,0.04114970070335955,ok
75233,1.0,8,0.06360623293524781,ok
75191,1.0,9,0.11736043466850721,ok
260,1.0,10,0.03876470122484543,ok
75115,1.0,11,0.020166998605945063,ok
75123,1.0,12,0.31853935884072804,ok
75192,1.0,13,0.5155365046658024,ok
75197,1.0,14,0.14707256950546566,ok
266,1.0,15,0.016732913629666446,ok
75150,1.0,16,0.28000944830742425,ok
75100,1.0,17,0.005023246752760224,ok
75178,1.0,18,0.7424450440395226,ok
75236,1.0,19,0.03720719275852624,ok
75213,1.0,20,0.08674026956594827,ok
75134,1.0,21,0.11801228235376782,ok
75198,1.0,22,0.11741717078860436,ok
246,1.0,23,0.02386517389989329,ok
75237,1.0,24,0.00044478627995558906,ok
75195,1.0,25,0.001259737123283422,ok
75171,1.0,26,0.1679630961636609,ok
75250,1.0,27,0.30990401350205754,ok
75116,1.0,28,0.011787819253438081,ok
75187,1.0,29,0.01835976460189981,ok
2350,1.0,30,0.4103669708866603,ok
244,1.0,31,0.13043562553570875,ok
75189,1.0,32,0.01884035228595604,ok
75219,1.0,33,0.026905589184484158,ok
75222,1.0,34,0.06663142438775782,ok
75159,1.0,35,0.07600580652866973,ok
75105,1.0,36,0.02409671474819519,ok
75099,1.0,37,0.14804278419436667,ok
75248,1.0,38,0.07828821846579426,ok
75226,1.0,39,0.003962127453158715,ok
75127,1.0,40,0.33677936351914894,ok
251,1.0,41,0.0,ok
75182,1.0,42,0.12045854597969419,ok
75092,1.0,43,0.09043340015207013,ok
3043,1.0,44,0.0210032126230264,ok
75225,1.0,45,0.0489534749006042,ok
75107,1.0,46,0.0681982936352995,ok
75097,1.0,47,0.06628024384025988,ok
