@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,2,0.028465259960187117,ok
252,1.0,4,0.15210127759356484,ok
246,1.0,5,0.010298454609116492,ok
75178,1.0,8,0.7448654621860945,ok
75171,1.0,9,0.16605354641574355,ok
75233,1.0,11,0.059925956479910836,ok
248,1.0,12,0.22327856760929932,ok
2123,1.0,15,0.06738289952537113,ok
75188,1.0,16,0.1386252150240207,ok
75092,1.0,17,0.08548778135934088,ok
75248,1.0,18,0.08657139743302866,ok
75126,1.0,20,0.03643686001249857,ok
75234,1.0,22,0.024088457176147382,ok
258,1.0,26,0.010166740124943674,ok
75168,1.0,28,0.16108696411115764,ok
75235,1.0,29,0.002214136932391586,ok
244,1.0,30,0.15674464987557646,ok
75221,1.0,33,0.407360334423975,ok
75219,1.0,34,0.019209106264119535,ok
75202,1.0,37,0.12336708640799732,ok
3043,1.0,39,0.015393865388719563,ok
75205,1.0,41,0.17320619081585342,ok
75174,1.0,43,0.10741272925070211,ok
288,1.0,44,0.1273309461516673,ok
75250,1.0,47,0.3131957858103459,ok
275,1.0,50,0.03113836854981311,ok
75142,1.0,51,0.07045882880874133,ok
75213,1.0,54,0.044786646303552335,ok
75243,1.0,56,0.0,ok
75184,1.0,58,0.09382284200854041,ok
75222,1.0,60,0.042450467864516894,ok
75175,1.0,64,0.0985042347265419,ok
233,1.0,67,0.003795066413662229,ok
75161,1.0,68,0.06235431872648012,ok
75176,1.0,74,0.015398347256705525,ok
75090,1.0,75,0.07050361875515809,ok
75114,1.0,77,0.025614039040392167,ok
236,1.0,81,0.032714188032757274,ok
75141,1.0,82,0.05204564474780016,ok
254,1.0,83,0.0,ok
75107,1.0,84,0.05508797600832782,ok
262,1.0,88,0.002204255752551787,ok
75146,1.0,90,0.11046559709685488,ok
75189,1.0,93,0.03629876381989827,ok
2350,1.0,96,0.40437153933708725,ok
253,1.0,101,0.42749590353199074,ok
2122,1.0,104,0.07873232590213652,ok
75110,1.0,106,0.07941915605295513,ok
75163,1.0,109,0.057877423269777295,ok
75108,1.0,111,0.0,ok
75117,1.0,115,0.05264910123086586,ok
75191,1.0,116,0.12166955449362371,ok
75226,1.0,119,0.0021242487815827937,ok
261,1.0,122,0.22604315465002633,ok
75236,1.0,123,0.03161153888457224,ok
75095,1.0,125,0.01139369019051717,ok
75093,1.0,126,0.19024744410374028,ok
75223,1.0,129,0.08810953300020319,ok
75244,1.0,133,0.0770744008673252,ok
75109,1.0,134,0.2956880559021955,ok
75197,1.0,138,0.1338963934097731,ok
75127,1.0,141,0.3278609070160813,ok
75143,1.0,142,0.012726604728051538,ok
75153,1.0,146,0.0891620495900205,ok
75173,1.0,149,0.11810798622509455,ok
75215,1.0,153,0.02244268595596144,ok
75195,1.0,154,0.0020035500406638818,ok
75207,1.0,155,0.1436779927213221,ok
75225,1.0,157,0.050116273139967915,ok
75166,1.0,160,0.09026163599191928,ok
75100,1.0,164,0.004425944556693429,ok
75169,1.0,165,0.050729843761402216,ok
75132,1.0,167,0.057370347607408334,ok
273,1.0,172,0.04075880316357683,ok
75098,1.0,175,0.01966183639129515,ok
75115,1.0,178,0.01597754333615209,ok
75185,1.0,179,0.12357181177981824,ok
2119,1.0,181,?,not_applicable
75157,1.0,182,0.441045334067138,ok
75113,1.0,184,0.003694733154041674,ok
75134,1.0,187,0.005412095798783323,ok
75096,1.0,191,0.05399283846331193,ok
75217,1.0,192,0.0,ok
75203,1.0,194,0.08484855981484973,ok
75182,1.0,196,0.1096523109459927,ok
75123,1.0,197,0.30688563910150735,ok
75237,1.0,199,0.00034595416213833996,ok
75125,1.0,202,0.031719337266494896,ok
75103,1.0,208,0.0047485480542429626,ok
75192,1.0,212,0.46007182473185615,ok
75230,1.0,213,?,not_applicable
75139,1.0,214,0.010097519788799025,ok
75227,1.0,215,0.10292833535433588,ok
2120,1.0,216,0.08205763350475981,ok
75124,1.0,219,0.08742164675817099,ok
75240,1.0,220,0.02080660971852688,ok
75129,1.0,225,0.09079790049528125,ok
75198,1.0,226,0.0967834042651814,ok
75201,1.0,229,0.07622193436253588,ok
75112,1.0,231,0.11018653943535928,ok
75133,1.0,233,0.007429996349323176,ok
75105,1.0,236,0.023366059622990987,ok
75154,1.0,237,?,not_applicable
75177,1.0,240,0.009799525103336593,ok
2117,1.0,245,0.1418330176063578,ok
75156,1.0,246,0.21699059276077082,ok
75097,1.0,250,0.060273179411257205,ok
75101,1.0,251,0.27206782138357155,ok
75172,1.0,256,0.07107482593925962,ok
75106,1.0,260,0.08643672487039977,ok
75179,1.0,261,0.17185918775043418,ok
75187,1.0,263,0.015531312133060915,ok
75120,1.0,264,0.039045457624822255,ok
75193,1.0,266,0.03577902786505427,ok
