@RELATION ChaLearn_AutoML_Challenge_2015_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE r2_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
344_r2_metric,1.0,42,7.28964805603e-05,ok
344_r2_metric,1.0,43,0.000109195709229,ok
422_r2_metric,1.0,14,0.940434217453,ok
422_r2_metric,1.0,15,0.945026278496,ok
225_r2_metric,1.0,26,0.330708384514,ok
225_r2_metric,1.0,27,0.337872743607,ok
197_a_metric,1.0,1,0.0225197672844,ok
197_a_metric,1.0,33,0.0201994776726,ok
201_a_metric,1.0,49,0.0134589076042,ok
201_a_metric,1.0,50,0.0304522514343,ok
574_a_metric,1.0,44,0.379355549812,ok
574_a_metric,1.0,45,0.375320672989,ok
416_a_metric,1.0,1,0.917826533318,ok
416_a_metric,1.0,1,0.917826533318,ok
189_r2_metric,1.0,69,0.0967750549316,ok
189_r2_metric,1.0,70,0.0880358219147,ok
218_a_metric,1.0,12,0.304831266403,ok
218_a_metric,1.0,13,0.309495270252,ok
1028_r2_metric,1.0,71,0.579316318035,ok
1028_r2_metric,1.0,72,0.572780072689,ok
296_r2_metric,1.0,53,0.150583028793,ok
296_r2_metric,1.0,54,0.150922179222,ok
215_r2_metric,1.0,36,0.0526887774467,ok
215_r2_metric,1.0,37,0.0527129769325,ok
344_a_metric,1.0,34,4.74452972412e-05,ok
344_a_metric,1.0,35,7.00354576111e-05,ok
507_a_metric,1.0,2,0.25347673893,ok
507_a_metric,1.0,3,0.251434922218,ok
1414_a_metric,1.0,24,0.143611431122,ok
1414_a_metric,1.0,25,0.145047307014,ok
512_a_metric,1.0,4,0.242917299271,ok
512_a_metric,1.0,5,0.233109474182,ok
296_a_metric,1.0,6,0.14888548851,ok
296_a_metric,1.0,7,0.148914694786,ok
573_a_metric,1.0,1,0.0225197672844,ok
573_a_metric,1.0,66,0.0204039812088,ok
209_r2_metric,1.0,20,0.978061139584,ok
209_r2_metric,1.0,21,0.976042568684,ok
405_r2_metric,1.0,62,0.484567761421,ok
405_r2_metric,1.0,63,0.475016534328,ok
197_r2_metric,1.0,1,0.0225197672844,ok
197_r2_metric,1.0,1,0.0225197672844,ok
225_a_metric,1.0,18,0.34279358387,ok
225_a_metric,1.0,19,0.335347294807,ok
287_r2_metric,1.0,1,0.489314079285,ok
287_r2_metric,1.0,59,0.487468957901,ok
216_r2_metric,1.0,67,0.102353930473,ok
216_r2_metric,1.0,68,0.0976181030273,ok
558_a_metric,1.0,22,0.429889857769,ok
558_a_metric,1.0,23,0.474893629551,ok
1414_r2_metric,1.0,8,0.143793523312,ok
1414_r2_metric,1.0,9,0.148058474064,ok
564_a_metric,1.0,38,0.0437416434288,ok
564_a_metric,1.0,39,0.0444597601891,ok
512_r2_metric,1.0,57,0.230269551277,ok
512_r2_metric,1.0,58,0.226612091064,ok
209_a_metric,1.0,1,1.04990077019,ok
209_a_metric,1.0,21,0.976042568684,ok
562_a_metric,1.0,1,0.0283261537552,ok
562_a_metric,1.0,1,0.0283261537552,ok
218_r2_metric,1.0,1,0.310629725456,ok
218_r2_metric,1.0,32,0.310402274132,ok
215_a_metric,1.0,51,0.0526959300041,ok
215_a_metric,1.0,52,0.0526882410049,ok
1030_a_metric,1.0,55,0.646264851093,ok
1030_a_metric,1.0,56,0.643842160702,ok
216_a_metric,1.0,28,0.104305267334,ok
216_a_metric,1.0,29,0.109950423241,ok
405_a_metric,1.0,30,0.466880619526,ok
405_a_metric,1.0,31,0.458802640438,ok
422_a_metric,1.0,1,0.960557281971,ok
422_a_metric,1.0,15,0.945026278496,ok
308_a_metric,1.0,60,0.0635966062546,ok
308_a_metric,1.0,61,0.063223361969,ok
574_r2_metric,1.0,1,0.390290558338,ok
574_r2_metric,1.0,1,0.390290558338,ok
564_r2_metric,1.0,38,0.0437416434288,ok
564_r2_metric,1.0,46,0.0444585680962,ok
201_r2_metric,1.0,47,0.0136212706566,ok
201_r2_metric,1.0,48,0.0259879827499,ok
189_a_metric,1.0,40,0.100434184074,ok
189_a_metric,1.0,41,0.0846135020256,ok
287_a_metric,1.0,1,0.489314079285,ok
287_a_metric,1.0,1,0.489314079285,ok
227_a_metric,1.0,1,0.0283261537552,ok
227_a_metric,1.0,1,0.0283261537552,ok
198_r2_metric,1.0,75,0.340737223625,ok
198_r2_metric,1.0,76,0.334846973419,ok
573_r2_metric,1.0,1,0.0225197672844,ok
573_r2_metric,1.0,1,0.0225197672844,ok
1028_a_metric,1.0,1,0.601176321507,ok
1028_a_metric,1.0,1,0.601176321507,ok
308_r2_metric,1.0,73,0.063428580761,ok
308_r2_metric,1.0,74,0.0632231831551,ok
507_r2_metric,1.0,64,0.252222418785,ok
507_r2_metric,1.0,65,0.252235651016,ok
416_r2_metric,1.0,1,0.917826533318,ok
416_r2_metric,1.0,1,0.917826533318,ok
1030_r2_metric,1.0,77,0.639272212982,ok
1030_r2_metric,1.0,78,0.640234351158,ok
198_a_metric,1.0,16,0.344804704189,ok
198_a_metric,1.0,17,0.338175773621,ok
562_r2_metric,1.0,1,0.0283261537552,ok
562_r2_metric,1.0,1,0.0283261537552,ok
558_r2_metric,1.0,10,0.431935310364,ok
558_r2_metric,1.0,11,0.465218901634,ok
227_r2_metric,1.0,1,0.0283261537552,ok
227_r2_metric,1.0,1,0.0283261537552,ok
% 
% 
% 
