@RELATION openml_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC

@DATA
1028_a_metric,1.0,0.00023,1e-05,0.00048,0.00029,0.0,1e-05,2e-05,1e-05,0.00084,0.01935,1e-05,4e-05,0.02096,0.01456,5e-05,0.00065,1e-05,0.00034,2e-05,0.00027,5e-05,3e-05,7e-05,8e-05,1e-05,0.00751,5e-05,4e-05,0.00013,3e-05,0.0001,8e-05,0.00799,1e-05,0.00028,7e-05,5e-05,0.00016,0.00013,0.00015,3e-05,0.00047,1e-05,3e-05,2e-05,1e-05,0.01481,1e-05,0.0,0.00035,3e-05,2e-05
1028_r2_metric,1.0,0.00024,1e-05,0.00048,0.00032,0.0,1e-05,2e-05,0.0,0.00084,0.01908,1e-05,4e-05,0.0209,0.01453,6e-05,0.00065,1e-05,0.00033,2e-05,0.00027,5e-05,3e-05,7e-05,8e-05,1e-05,0.00752,6e-05,4e-05,0.00013,3e-05,0.00011,8e-05,0.0083,1e-05,0.00028,6e-05,4e-05,0.00015,0.00013,0.00015,3e-05,0.00047,1e-05,3e-05,2e-05,1e-05,0.01465,1e-05,0.0,0.00038,3e-05,3e-05
1030_a_metric,1.0,0.00022,1e-05,0.00047,0.0003,0.0,1e-05,2e-05,0.0,0.00082,0.02092,1e-05,4e-05,0.01925,0.0215,3e-05,0.00064,1e-05,0.00033,2e-05,0.00027,4e-05,3e-05,7e-05,8e-05,1e-05,0.00896,6e-05,4e-05,0.00013,2e-05,8e-05,9e-05,0.00974,1e-05,0.00028,7e-05,4e-05,0.00016,0.00013,0.00014,3e-05,0.00046,1e-05,3e-05,2e-05,1e-05,0.01136,1e-05,0.0,0.00031,3e-05,2e-05
1030_r2_metric,1.0,0.00022,1e-05,0.00047,0.00031,0.0,1e-05,2e-05,0.0,0.00083,0.02066,1e-05,3e-05,0.01896,0.02148,3e-05,0.00062,1e-05,0.00034,2e-05,0.00026,4e-05,3e-05,7e-05,8e-05,1e-05,0.00882,6e-05,4e-05,0.00013,2e-05,8e-05,9e-05,0.00951,1e-05,0.00028,7e-05,5e-05,0.00016,0.00013,0.00014,3e-05,0.00044,1e-05,3e-05,2e-05,1e-05,0.01135,1e-05,0.0,0.00031,3e-05,2e-05
1414_a_metric,1.0,0.00237,1e-05,0.00114,0.00221,1e-05,1e-05,2e-05,1e-05,0.00213,1.34828,4e-05,4e-05,4.72778,3.26197,0.00011,0.00016,1e-05,0.00095,2e-05,0.00029,5e-05,3e-05,8e-05,9e-05,1e-05,0.47489,0.00047,3e-05,4e-05,4e-05,0.00035,0.00014,0.2864,0.0,0.00033,6e-05,0.0001,0.00034,0.00014,0.00017,3e-05,8e-05,1e-05,3e-05,6e-05,1e-05,3.06772,1e-05,1e-05,0.0028,4e-05,2e-05
1414_r2_metric,1.0,0.00237,1e-05,0.00114,0.00222,1e-05,1e-05,2e-05,1e-05,0.00214,1.34295,4e-05,4e-05,4.7159,3.23113,0.0001,0.00017,1e-05,0.00096,2e-05,0.00029,5e-05,3e-05,8e-05,0.00011,1e-05,0.47406,0.00048,3e-05,4e-05,4e-05,0.00035,0.00014,0.28855,1e-05,0.00045,6e-05,0.0001,0.00035,0.00014,0.00026,3e-05,9e-05,1e-05,3e-05,6e-05,1e-05,3.08176,1e-05,1e-05,0.00279,5e-05,2e-05
197_a_metric,1.0,0.0015,1e-05,0.00088,0.00155,0.0,1e-05,2e-05,1e-05,0.00149,0.14992,1e-05,3e-05,0.94178,0.17921,0.00013,0.00061,1e-05,0.00057,2e-05,0.00028,5e-05,3e-05,8e-05,8e-05,1e-05,1.51228,0.00026,4e-05,0.00013,3e-05,0.00035,9e-05,0.06526,1e-05,0.00037,7e-05,5e-05,0.00018,0.00014,0.00021,3e-05,0.00044,1e-05,4e-05,3e-05,1e-05,1.60067,1e-05,0.0,0.00195,4e-05,2e-05
197_r2_metric,1.0,0.00151,1e-05,0.00999,0.00159,0.0,1e-05,2e-05,1e-05,0.01068,0.15082,1e-05,4e-05,0.94139,0.17867,0.00016,0.00064,2e-05,0.00066,2e-05,0.0003,5e-05,3e-05,8e-05,0.00011,1e-05,1.51517,0.00029,4e-05,0.00013,3e-05,0.00037,0.0001,0.06144,1e-05,0.00053,8e-05,5e-05,0.00019,0.00014,0.00034,4e-05,0.00046,1e-05,5e-05,3e-05,1e-05,1.59698,1e-05,0.0,0.00201,5e-05,3e-05
201_a_metric,1.0,0.00324,1e-05,0.00195,0.00272,0.0,1e-05,2e-05,1e-05,0.0032,0.34865,1e-05,5e-05,9.07208,0.10471,0.00047,0.00064,2e-05,0.00121,2e-05,0.00037,5e-05,3e-05,8e-05,0.00012,1e-05,0.11155,0.00033,4e-05,0.00013,4e-05,0.00112,9e-05,0.03739,1e-05,0.00046,7e-05,0.0001,0.00022,0.00019,0.00026,5e-05,0.00046,1e-05,4e-05,3e-05,1e-05,0.61275,2e-05,0.0,0.00479,5e-05,3e-05
201_r2_metric,1.0,0.00299,1e-05,0.00197,0.00271,0.0,1e-05,2e-05,1e-05,0.00325,0.35178,1e-05,4e-05,9.22271,0.10382,0.00047,0.00066,1e-05,0.00124,2e-05,0.00035,5e-05,3e-05,8e-05,8e-05,1e-05,0.11001,0.00032,4e-05,0.00013,3e-05,0.00112,9e-05,0.03587,1e-05,0.00037,7e-05,4e-05,0.00017,0.00019,0.00021,5e-05,0.00049,1e-05,5e-05,3e-05,1e-05,0.61243,1e-05,0.0,0.00456,4e-05,3e-05
