@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC

@DATA
2280,1.0,2e-05,2e-05,3e-05,2e-05,0.01525,0.01381,3e-05,0.0012,3e-05,0.00031,1e-05,5e-05,5e-05,0.00013,0.00016,6e-05,2e-05,8e-05,3e-05,0.00118,1e-05,1e-05,0.00034,0.00064,0.00018,0.00052,7e-05,8e-05,0.0001,0.00027,0.00052,6e-05,0.0001,0.00012,0.00025
2288,1.0,2e-05,1e-05,3e-05,2e-05,0.00788,0.00641,3e-05,0.00097,5e-05,0.00058,1e-05,3e-05,3e-05,7e-05,0.0001,4e-05,2e-05,8e-05,5e-05,0.00076,0.0,1e-05,0.0002,0.00041,0.00013,0.00089,0.00015,0.00019,0.00018,0.00037,0.00205,0.00025,0.0004,0.00035,0.00105
2289,1.0,2e-05,1e-05,3e-05,2e-05,0.01106,0.01019,2e-05,0.00074,4e-05,0.0002,1e-05,4e-05,6e-05,8e-05,0.00011,5e-05,2e-05,9e-05,5e-05,0.00094,1e-05,1e-05,0.00031,0.00044,0.00017,0.00093,0.00012,0.00021,0.00016,0.00044,0.00091,0.00015,0.00014,0.00022,0.00039
2292,1.0,2e-05,1e-05,2e-05,1e-05,0.01294,0.00992,1e-05,0.00179,2e-05,0.00127,1e-05,4e-05,2e-05,7e-05,0.0001,3e-05,1e-05,5e-05,2e-05,0.00064,0.0,0.0,0.00014,0.00035,0.00014,0.00045,6e-05,7e-05,8e-05,0.00024,0.00046,6e-05,7e-05,0.0001,0.00022
2300,1.0,1e-05,1e-05,1e-05,1e-05,0.00147,0.00133,1e-05,0.00013,1e-05,4e-05,1e-05,2e-05,2e-05,5e-05,7e-05,2e-05,1e-05,4e-05,2e-05,0.00049,0.0,0.0,0.00013,0.00026,9e-05,0.00129,0.00017,0.00018,0.00031,0.00062,0.00075,0.00014,0.00012,0.00017,0.00033
2306,1.0,1e-05,1e-05,2e-05,1e-05,0.02421,0.02168,1e-05,0.00183,2e-05,0.00074,1e-05,2e-05,2e-05,8e-05,7e-05,2e-05,1e-05,5e-05,3e-05,0.0005,0.0,0.0,0.00013,0.00028,8e-05,0.00074,0.0001,0.00012,0.00016,0.00037,0.00064,9e-05,0.00011,0.00014,0.00029
2307,1.0,3e-05,3e-05,5e-05,4e-05,0.02139,0.01866,3e-05,0.00192,4e-05,0.0009,1e-05,8e-05,3e-05,8e-05,0.00014,5e-05,2e-05,7e-05,3e-05,0.00101,1e-05,1e-05,0.00029,0.00054,0.00016,0.00092,0.00013,0.00012,0.00018,0.00048,0.00084,0.00011,0.00016,0.00017,0.0004
2309,1.0,2e-05,1e-05,3e-05,2e-05,0.02516,0.02312,2e-05,0.00161,2e-05,0.00048,1e-05,3e-05,3e-05,9e-05,0.00015,6e-05,1e-05,9e-05,4e-05,0.00086,1e-05,1e-05,0.00028,0.00043,0.00012,0.00099,0.00021,0.00021,0.00019,0.00038,0.00139,0.00018,0.00029,0.00031,0.00062
2313,1.0,3e-05,1e-05,1e-05,1e-05,0.00476,0.00419,1e-05,0.00043,1e-05,0.00016,0.0,2e-05,2e-05,5e-05,7e-05,2e-05,1e-05,4e-05,2e-05,0.00056,0.0,0.0,0.00019,0.00027,9e-05,0.00083,0.00011,0.00015,0.00016,0.0004,0.00103,0.00016,0.00016,0.00025,0.00047
2315,1.0,1e-05,1e-05,2e-05,1e-05,0.00814,0.00711,2e-05,0.00073,2e-05,0.00035,1e-05,3e-05,3e-05,0.0001,0.00013,4e-05,1e-05,6e-05,3e-05,0.00078,1e-05,1e-05,0.00022,0.00043,0.00012,0.00076,0.00011,0.00012,0.00016,0.00037,0.00098,0.00011,0.00013,0.00018,0.00055
