@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75192,1.0,308,0.4290171606864275,ok
75119,1.0,3,0.0,ok
75212,1.0,58,0.2304147465437788,ok
246,1.0,6,?,not_applicable
252,1.0,7,?,not_applicable
75178,1.0,8,?,not_applicable
75177,1.0,340,0.060975609756097615,ok
75092,1.0,31,0.038461538461538436,ok
75239,1.0,13,0.0,ok
75215,1.0,15,0.01603498542274051,ok
75171,1.0,16,0.15907393577296491,ok
75227,1.0,151,0.12068965517241381,ok
75233,1.0,83,0.028221512247071368,ok
75182,1.0,22,0.15116811726981216,ok
253,1.0,23,?,not_applicable
75157,1.0,70,0.3113207547169812,ok
75124,1.0,194,0.23178807947019864,ok
75222,1.0,144,0.1428571428571429,ok
75231,1.0,28,?,not_applicable
75185,1.0,260,0.1368015414258189,ok
2123,1.0,32,?,not_applicable
75150,1.0,33,0.138728323699422,ok
75143,1.0,34,0.001984126984126977,ok
75196,1.0,35,0.0,ok
75188,1.0,40,?,not_applicable
75248,1.0,48,0.0,ok
75249,1.0,49,0.020408163265306145,ok
75113,1.0,50,0.0,ok
75126,1.0,51,0.01342281879194629,ok
251,1.0,53,?,not_applicable
75184,1.0,122,0.16125290023201855,ok
75234,1.0,56,0.02622950819672132,ok
258,1.0,60,?,not_applicable
75166,1.0,229,0.05275056518462695,ok
75168,1.0,63,?,not_applicable
75148,1.0,183,0.11025145067698261,ok
75235,1.0,67,?,not_applicable
75159,1.0,186,0.1071428571428571,ok
244,1.0,71,?,not_applicable
75141,1.0,131,0.044036697247706424,ok
75221,1.0,74,?,not_applicable
75219,1.0,171,0.029134917077543676,ok
75202,1.0,77,?,not_applicable
3043,1.0,80,0.08536585365853655,ok
75205,1.0,84,?,not_applicable
75174,1.0,88,0.12230874942739345,ok
288,1.0,89,?,not_applicable
75250,1.0,90,?,not_applicable
75179,1.0,363,0.17639751552795035,ok
275,1.0,92,?,not_applicable
75207,1.0,93,?,not_applicable
75142,1.0,95,0.06500221598463585,ok
75099,1.0,98,0.11650485436893199,ok
75243,1.0,99,?,not_applicable
75175,1.0,103,0.13841201716738194,ok
233,1.0,107,0.0020408163265306367,ok
75161,1.0,109,0.06341032808592029,ok
75176,1.0,110,0.014139827179890041,ok
262,1.0,113,?,not_applicable
75129,1.0,114,0.21153846153846156,ok
261,1.0,115,0.2727272727272727,ok
75090,1.0,116,?,not_applicable
75114,1.0,120,0.010025062656641603,ok
75093,1.0,187,0.3338323353293413,ok
260,1.0,124,?,not_applicable
236,1.0,126,?,not_applicable
254,1.0,132,0.0,ok
75107,1.0,135,0.2821543408360129,ok
75139,1.0,313,0.017737003058103995,ok
75146,1.0,140,0.09396226415094344,ok
75189,1.0,145,0.014883444028948256,ok
75163,1.0,150,0.07699275362318836,ok
2350,1.0,155,0.4004661365505895,ok
2122,1.0,156,?,not_applicable
75110,1.0,159,?,not_applicable
75213,1.0,162,0.10465116279069764,ok
75095,1.0,230,0.012048192771084376,ok
75108,1.0,167,0.0,ok
75117,1.0,169,0.0064102564102563875,ok
75191,1.0,175,0.1774941995359629,ok
75226,1.0,177,0.0017998560115191076,ok
75244,1.0,195,0.08205128205128209,ok
75236,1.0,181,?,not_applicable
75169,1.0,184,?,not_applicable
75116,1.0,185,0.004683840749414525,ok
75223,1.0,189,?,not_applicable
75109,1.0,196,?,not_applicable
75197,1.0,199,?,not_applicable
248,1.0,203,?,not_applicable
2119,1.0,206,?,not_applicable
75127,1.0,208,0.37264115290620037,ok
75153,1.0,215,0.0870827285921626,ok
75173,1.0,217,0.12250000000000005,ok
75187,1.0,218,0.018425460636515956,ok
75195,1.0,223,0.0011261261261261701,ok
75225,1.0,266,0.04166666666666663,ok
75100,1.0,356,0.5714285714285714,ok
75132,1.0,237,0.2324414715719063,ok
75210,1.0,239,0.0,ok
273,1.0,241,0.06271186440677967,ok
75133,1.0,333,0.2272727272727273,ok
75121,1.0,244,0.0,ok
75098,1.0,248,?,not_applicable
75115,1.0,253,0.0,ok
266,1.0,258,?,not_applicable
75134,1.0,274,?,not_applicable
75096,1.0,277,?,not_applicable
75203,1.0,280,?,not_applicable
75123,1.0,288,?,not_applicable
75237,1.0,292,0.0002960423808039403,ok
75125,1.0,293,0.009638554216867434,ok
2120,1.0,297,?,not_applicable
75232,1.0,303,0.18487394957983194,ok
75103,1.0,306,0.0,ok
242,1.0,307,?,not_applicable
75230,1.0,312,?,not_applicable
75240,1.0,320,0.0,ok
75198,1.0,325,?,not_applicable
75201,1.0,328,?,not_applicable
75112,1.0,331,0.23957856161245994,ok
75105,1.0,336,0.2642140468227425,ok
75154,1.0,338,?,not_applicable
2117,1.0,343,0.05661150253973457,ok
75156,1.0,345,0.16913946587537088,ok
75097,1.0,349,0.0,ok
75101,1.0,352,0.24994100991033508,ok
75172,1.0,353,?,not_applicable
75106,1.0,361,0.3294117647058824,ok
75120,1.0,367,0.002044989775051076,ok
75193,1.0,369,?,not_applicable
