@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE roc_auc NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,2,0.03314049586776857,ok
252,1.0,4,?,not_applicable
246,1.0,5,?,not_applicable
75178,1.0,8,?,not_applicable
75171,1.0,9,0.08511845185819489,ok
75233,1.0,10,0.014177881046890661,ok
248,1.0,12,?,not_applicable
2123,1.0,13,?,not_applicable
75188,1.0,16,?,not_applicable
75092,1.0,17,0.04904070288685669,ok
75248,1.0,18,0.14041211906971263,ok
75126,1.0,20,0.01948473695605113,ok
75234,1.0,22,0.0024355396957419506,ok
258,1.0,25,?,not_applicable
75168,1.0,28,?,not_applicable
75235,1.0,29,?,not_applicable
244,1.0,30,?,not_applicable
75221,1.0,31,?,not_applicable
75219,1.0,35,0.002972495368956385,ok
75202,1.0,36,?,not_applicable
3043,1.0,39,0.0029910583098946564,ok
75205,1.0,40,?,not_applicable
75174,1.0,42,0.04688461275915423,ok
288,1.0,44,?,not_applicable
75250,1.0,45,?,not_applicable
275,1.0,48,?,not_applicable
75142,1.0,51,0.015034845728480684,ok
75213,1.0,54,0.009538825384312055,ok
75243,1.0,56,?,not_applicable
75184,1.0,58,0.0539685807425212,ok
75222,1.0,60,0.03321428571428564,ok
75175,1.0,62,0.03378055646119593,ok
233,1.0,67,9.588941959759456e-05,ok
75161,1.0,68,0.012257886857606981,ok
75176,1.0,73,0.0008133761252839822,ok
75090,1.0,75,?,not_applicable
75114,1.0,77,0.013921166552745556,ok
236,1.0,79,?,not_applicable
75141,1.0,82,0.008669241313411069,ok
254,1.0,83,0.0,ok
75107,1.0,84,0.1342302517211087,ok
262,1.0,87,?,not_applicable
75146,1.0,91,0.039122496525382244,ok
75189,1.0,93,0.00734523166114287,ok
2350,1.0,96,0.41519294509146365,ok
253,1.0,100,?,not_applicable
2122,1.0,102,?,not_applicable
75110,1.0,105,?,not_applicable
75163,1.0,108,0.02220364176885914,ok
75108,1.0,111,0.0,ok
75117,1.0,115,0.045132374400667086,ok
75191,1.0,118,0.078356148068079,ok
75226,1.0,120,0.00017397429423715582,ok
261,1.0,122,0.20626175171629713,ok
75236,1.0,123,?,not_applicable
75095,1.0,125,0.007457457058903216,ok
75093,1.0,126,0.24043431604642973,ok
75223,1.0,129,?,not_applicable
75244,1.0,132,0.10114786670056597,ok
75109,1.0,134,?,not_applicable
75197,1.0,137,?,not_applicable
75127,1.0,141,0.2750514969606943,ok
75143,1.0,142,0.0014187412553673395,ok
75153,1.0,143,0.02478078703069797,ok
75173,1.0,147,0.049319805194805166,ok
75215,1.0,151,0.003058626864941849,ok
75195,1.0,154,8.477622467806256e-06,ok
75207,1.0,155,?,not_applicable
75225,1.0,157,0.06593697123519449,ok
75166,1.0,160,0.028731861516622548,ok
75100,1.0,163,0.12450423827669332,ok
75169,1.0,165,?,not_applicable
75132,1.0,166,0.2722725605955768,ok
273,1.0,173,0.010319257744009214,ok
75098,1.0,174,?,not_applicable
75115,1.0,178,0.028455284552845517,ok
75185,1.0,179,0.05119261178659218,ok
2119,1.0,181,?,not_applicable
75157,1.0,182,0.4186635220125786,ok
75113,1.0,185,0.00030360098156712034,ok
75134,1.0,186,?,not_applicable
75096,1.0,189,?,not_applicable
75217,1.0,192,?,not_applicable
75203,1.0,193,?,not_applicable
75182,1.0,196,0.05429271344001374,ok
75123,1.0,197,?,not_applicable
75237,1.0,198,6.291572838601489e-06,ok
75125,1.0,203,0.02591643168418345,ok
75103,1.0,208,0.0009522580169282202,ok
75192,1.0,211,0.48856906505559583,ok
75230,1.0,213,?,not_applicable
75139,1.0,214,0.000495016166899509,ok
75227,1.0,215,0.041077597600882365,ok
2120,1.0,216,?,not_applicable
75124,1.0,218,0.07949985173470397,ok
75240,1.0,220,0.007357725254461656,ok
75129,1.0,225,0.14130254195049008,ok
75198,1.0,226,?,not_applicable
75201,1.0,227,?,not_applicable
75112,1.0,232,0.0573681488534048,ok
75133,1.0,233,0.02889097358623316,ok
75105,1.0,235,0.16556123233649855,ok
75154,1.0,237,?,not_applicable
75177,1.0,240,0.0011334536753284663,ok
2117,1.0,245,0.08539037078184775,ok
75156,1.0,246,0.1329579773468752,ok
75097,1.0,250,0.14381681695346293,ok
75101,1.0,251,0.18985303594158476,ok
75172,1.0,255,?,not_applicable
75106,1.0,260,0.2691346623561247,ok
75179,1.0,261,0.10435437106074386,ok
75187,1.0,263,0.0012529259545591698,ok
75120,1.0,264,0.052658486707566454,ok
75193,1.0,266,?,not_applicable
