@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE roc_auc NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,2,0.0012381619636645524,ok
autouniv-au1-1000,1.0,5,0.21742499999999998,ok
hill-valley,1.0,8,0.11161275718094488,ok
eye_movements,1.0,9,?,not_applicable
abalone,1.0,12,?,not_applicable
tamilnadu-electricity,1.0,15,?,not_applicable
xd6,1.0,18,0.0,ok
colleges_usnews,1.0,19,0.1695287366315974,ok
pc4,1.0,24,0.051371705217859054,ok
fri_c3_500_50,1.0,27,0.02159023228111967,ok
run_or_walk_information,1.0,29,0.00041514894551353265,ok
satellite,1.0,32,0.0023310633839705996,ok
2dplanes,1.0,36,0.014911647061413458,ok
wine-quality-red,1.0,39,?,not_applicable
arsenic-female-bladder,1.0,44,0.12779874213836484,ok
kuzushiji-mnist,1.0,45,?,not_applicable
anneal,1.0,47,?,not_applicable
pollen,1.0,52,0.4946366644474697,ok
volcanoes-b5,1.0,53,?,not_applicable
titanic,1.0,58,0.2128215020576132,ok
strikes,1.0,62,0.0,ok
madeline,1.0,63,0.03453050514537881,ok
cardiotocography,1.0,67,?,not_applicable
kick,1.0,68,0.2248646551115614,ok
microaggregation2,1.0,69,?,not_applicable
autouniv-au6-750,1.0,71,?,not_applicable
meta_stream_intervals.arff,1.0,73,?,not_applicable
diabetes130us,1.0,76,?,not_applicable
steel-plates-fault,1.0,78,?,not_applicable
bank8fm,1.0,81,0.009023018251932302,ok
semeion,1.0,84,?,not_applicable
elevators,1.0,88,0.05211546153641655,ok
umist_faces_cropped,1.0,89,?,not_applicable
isolet,1.0,90,?,not_applicable
led24,1.0,93,?,not_applicable
satimage,1.0,96,?,not_applicable
pbcseq,1.0,98,0.07736716057555637,ok
bachchoralharmony,1.0,102,?,not_applicable
compas-two-years,1.0,105,0.2780413127484711,ok
volcanoes-b6,1.0,108,?,not_applicable
philippine,1.0,111,0.08426479423574817,ok
irish,1.0,113,0.0,ok
monks-problems-1,1.0,115,0.0,ok
porto-seguro,1.0,116,0.3638795079556001,ok
arsenic-female-lung,1.0,120,0.0019047619047618536,ok
autouniv-au7-1100,1.0,124,?,not_applicable
steel-plates-fault,1.0,127,0.0,ok
speeddating,1.0,130,0.1273327046245497,ok
devnagari-script,1.0,134,?,not_applicable
fars,1.0,137,?,not_applicable
wdbc,1.0,141,0.0014738393515106862,ok
hiva_agnostic,1.0,144,0.21507074483514355,ok
rmftsa_ladata,1.0,147,0.038308913308913395,ok
banknote-authentication,1.0,148,0.0,ok
visualizing_soil,1.0,149,0.0,ok
wine-quality-white,1.0,151,?,not_applicable
analcatdata_dmft,1.0,152,?,not_applicable
ova_colon,1.0,156,0.026018969495001376,ok
volcanoes-e1,1.0,157,?,not_applicable
cpu_small,1.0,160,0.023515022428760468,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_75_edm-2_001,1.0,166,0.19660574037646983,ok
dresses-sales,1.0,169,0.35491535491535486,ok
tokyo1,1.0,175,0.013946091424377194,ok
parity5_plus_5,1.0,176,0.0,ok
delta_ailerons,1.0,177,0.023653062290969862,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_50_edm-2_001,1.0,180,0.2304262925897742,ok
mammography,1.0,183,0.018254958666772292,ok
first-order-theorem-proving,1.0,185,?,not_applicable
pol,1.0,187,0.0006704766121927719,ok
one-hundred-plants-margin,1.0,191,?,not_applicable
volcanoes-a2,1.0,194,?,not_applicable
kdd_el_nino-small,1.0,199,0.007394914374675654,ok
kc2,1.0,200,0.1457312091503269,ok
fri_c3_1000_10,1.0,204,0.019275506812894583,ok
house_16h,1.0,208,0.05329583073773181,ok
ozone-level-8hr,1.0,210,0.07558692893401009,ok
analcatdata_supreme,1.0,212,0.0011156945047522404,ok
meta,1.0,216,0.08208069620253167,ok
kdd98,1.0,218,0.3741853032243194,ok
cmc,1.0,222,?,not_applicable
delta_elevators,1.0,225,0.053025974025973976,ok
kropt,1.0,226,?,not_applicable
mnist_784,1.0,228,?,not_applicable
arsenic-male-bladder,1.0,232,0.13687015503875966,ok
letter,1.0,233,?,not_applicable
mc1,1.0,237,0.029770455278355867,ok
ova_prostate,1.0,238,0.0,ok
volcanoes-b2,1.0,241,?,not_applicable
hypothyroid,1.0,244,?,not_applicable
autouniv-au7-700,1.0,246,?,not_applicable
ova_lung,1.0,250,0.034500729622680804,ok
pokerhand,1.0,251,?,not_applicable
