class,added,comment
<class 'sklearn.base.TransformerMixin'>,FALSE,BaseClass
<class 'sklearn.cluster._feature_agglomeration.AgglomerationTransform'>,FALSE,Mixin class for feature agglomeration.
<class 'sklearn.cluster.birch.Birch'>,,
<class 'sklearn.cluster.hierarchical.FeatureAgglomeration'>,TRUE,try out
<class 'sklearn.cluster.hierarchical.WardAgglomeration'>,FALSE,deprecated
<class 'sklearn.cluster.k_means_.KMeans'>,FALSE,We expect this to not work better than PCA
<class 'sklearn.cluster.k_means_.MiniBatchKMeans'>,False,BaseClass
<class 'sklearn.cross_decomposition.cca_.CCA'>,FALSE,works only if there are known correlated data points
<class 'sklearn.cross_decomposition.pls_._PLS'>,FALSE,Base class; https://www.stat.washington.edu/research/reports/2000/tr371.pdf
<class 'sklearn.cross_decomposition.pls_.PLSCanonical'>,FALSE,Regression only
<class 'sklearn.cross_decomposition.pls_.PLSRegression'>,FALSE,Regression only
<class 'sklearn.cross_decomposition.pls_.PLSSVD'>,FALSE,Regression only
<class 'sklearn.decomposition.base._BasePCA'>,,
<class 'sklearn.decomposition.dict_learning.DictionaryLearning'>,TRUE,try out
<class 'sklearn.decomposition.dict_learning.MiniBatchDictionaryLearning'>,FALSE,
<class 'sklearn.decomposition.dict_learning.SparseCoder'>,FALSE,What is the difference to Tobis implementation?
<class 'sklearn.decomposition.dict_learning.SparseCodingMixin'>,FALSE,Mixin class for sparse coding
<class 'sklearn.decomposition.factor_analysis.FactorAnalysis'>,FALSE,
<class 'sklearn.decomposition.fastica_.FastICA'>,TRUE,try out
<class 'sklearn.decomposition.incremental_pca.IncrementalPCA'>,,
<class 'sklearn.decomposition.kernel_pca.KernelPCA'>,TRUE,try out
<class 'sklearn.decomposition.nmf.NMF'>,FALSE,Special case of sparse coding
<class 'sklearn.decomposition.nmf.ProjectedGradientNMF'>,FALSE,see above
<class 'sklearn.decomposition.pca.PCA'>,TRUE,
